NBM_91_bulk_CMP	NBM_91_bulk_GMP	NBM_91_bulk_HSC	NBM_91_bulk_MEP	OX1407_bulk_CMP	OX1407_bulk_GMP	OX1407_bulk_HSC	OX1407_bulk_MEP	OX1570_bulk_CMP	OX1570_bulk_GMP	OX1570_bulk_HSC	OX1570_bulk_MEP	OX753_bulk_HSC
FAM71A	2	0	3	0	0	0	0	0	0	0	0	0	0
FAM71C	0	1	0	0	0	0	0	0	0	0	0	0	0
FAM71D	0	0	0	0	1	0	0	0	0	10	0	0	0
FAM71E1	23	2	44	29	0	0	0	10	6	1	2	3	0
FAM71E2	0	0	0	0	0	0	0	0	0	0	0	1	0
FAM71F2	4	39	44	3	1	3	0	0	5	8	0	4	1
FAM72B	24	117	0	167	49	50	82	56	0	24	0	53	2
FAM72C	0	0	0	0	0	0	0	0	0	0	0	2	0
FAM72D	0	3	0	8	0	2	0	1	0	2	0	0	0
FAM73A	288	158	337	260	546	557	174	235	40	375	47	135	241
FAM73B	297	466	210	121	127	141	30	107	136	60	4	113	9
FAM74A3	1	0	0	0	0	0	0	0	0	0	0	0	1
FAM74A4	1	2	0	0	0	0	0	0	0	0	0	0	0
FAM76A	565	51	1019	791	640	689	631	865	150	426	56	276	691
FAM76B	754	646	895	1223	2087	1797	2200	2628	2027	1773	180	1784	2683
FAM78A	429	365	43	224	7	228	13	45	37	89	4	47	93
FAM78B	0	0	0	0	0	0	0	0	0	0	0	13	0
FAM81A	0	2	0	72	0	9	0	0	0	0	0	10	0
FAM81B	1	28	55	4	94	76	0	54	67	8	1	26	0
FAM83A	6	0	0	0	21	0	0	0	0	1	0	0	1
FAM83A-AS1	0	0	0	0	28	0	0	0	0	0	0	0	0
FAM83B	0	1	0	0	0	0	0	0	0	4	0	2	0
FAM83D	149	205	0	1845	892	311	204	1199	342	5	0	969	0
FAM83F	2	0	0	0	0	0	0	0	0	0	0	0	0
FAM83G	0	0	0	0	0	2	0	0	0	0	0	0	0
FAM83H	46	30	0	53	145	164	0	124	7	5	0	1	0
FAM83H-AS1	0	5	37	3	0	36	1	10	2	3	0	0	2
FAM84B	191	64	372	636	263	62	115	402	262	282	18	285	885
FAM86A	18	18	42	105	57	2	10	21	1	4	3	9	1
FAM86B1	10	52	34	38	40	13	22	46	3	11	1	16	2
FAM86B2	0	2	26	6	4	4	0	4	0	0	0	6	0
FAM86B3P	112	95	25	96	56	221	24	33	22	35	2	12	85
FAM86C1	47	51	118	119	118	67	19	181	65	8	0	9	8
FAM86C2P	8	20	61	27	18	10	1	39	5	43	0	1	6
FAM86DP	89	165	66	130	18	30	31	104	63	56	1	23	21
FAM86EP	46	58	28	96	173	26	5	34	26	13	2	14	8
FAM86FP	24	33	104	31	12	8	10	22	3	11	0	5	6
FAM86HP	92	65	115	124	65	25	12	25	30	30	0	13	4
FAM86JP	6	26	183	57	43	24	9	34	1	4	0	1	3
FAM87A	4	0	4	0	0	14	0	22	0	31	3	0	88
FAM87B	7	0	3	0	0	100	0	36	0	36	2	0	88
FAM89A	122	133	30	434	45	133	0	289	80	0	0	7	193
FAM89B	390	534	75	215	47	175	50	94	85	127	2	39	0
FAM8A1	106	75	749	1285	1404	660	823	1289	1174	778	122	1396	629
FAM90A1	1	2	1	4	0	0	0	1	0	2	0	0	0
FAM90A10P	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A25P	0	0	0	0	0	2	0	0	0	0	0	0	0
FAM90A7P	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM91A1	498	773	1119	1270	1930	1271	1734	1490	1366	2024	312	1284	3909
FAM92A1	326	275	482	779	408	665	671	370	174	468	116	299	838
FAM92A1P2	0	1	3	1	1	1	2	0	2	2	1	0	4
FAM92B	0	1	0	0	0	0	0	0	0	0	0	0	0
FAM95A	0	0	3	1	0	1	1	0	0	1	0	0	0
FAM95B1	16	6	17	12	12	16	22	0	0	0	0	0	15
FAM95C	2	92	1	2	3	0	1	0	0	24	0	0	0
FAM96A	1032	1531	2781	4675	2843	2437	3218	3230	885	1545	117	955	1672
FAM96B	961	1247	886	2187	1340	593	542	987	285	683	75	540	407
FAM98A	421	352	232	793	675	359	157	270	165	247	7	188	1162
FAM98B	689	1150	808	1460	1452	994	1026	1067	273	883	91	263	1035
FAM98C	33	79	36	82	21	13	0	70	0	39	2	35	0
FAM9B	0	0	1	0	1	0	0	0	1	1	0	0	0
FAN1	419	461	457	588	361	1015	226	463	51	102	0	23	70
FANCA	194	418	127	197	342	338	67	94	170	421	0	77	0
FANCB	50	185	140	373	237	133	170	480	88	375	13	64	70
FANCC	27	109	115	143	21	22	8	93	14	50	0	16	16
FANCD2	1532	1333	827	2195	3207	2546	748	1517	767	1069	55	434	1440
FANCD2OS	4	0	2	0	1	0	0	0	1	19	0	0	1
FANCE	382	296	67	417	434	40	50	190	205	99	0	235	0
FANCF	145	227	550	328	400	104	85	375	402	149	16	131	803
FANCG	536	656	240	589	204	897	139	398	923	623	16	410	160
FANCI	658	799	1081	1619	1681	1938	206	1974	761	889	43	615	161
FANCL	626	623	1346	1796	1443	1948	998	1883	272	589	62	301	997
FANCM	199	361	432	928	274	54	285	438	27	215	2	110	107
FANK1	1	51	94	69	0	1	61	32	24	52	0	16	0
FAP	0	0	0	0	0	0	0	0	0	0	0	1	0
FAR1	1214	1348	1720	3050	1404	2152	2169	3016	1746	1499	167	2402	3954
FAR2	139	448	1465	782	1324	674	714	670	244	413	48	385	90
FAR2P1	0	0	1	0	0	0	0	0	0	1	0	0	1
FAR2P2	0	1	8	0	0	0	0	0	1	0	0	0	0
FARP1	24	0	41	1	0	8	3	0	0	61	1	1	0
FARP2	8	0	19	12	4	1	12	62	31	44	4	30	0
FARS2	167	292	663	655	191	59	364	511	170	468	41	737	42
FARSA	2724	2760	2652	1924	1963	2258	351	1315	1085	951	9	1607	71
FARSB	1150	1059	2123	2951	3875	2030	3321	6007	836	2841	264	2930	1822
FAS	136	82	335	383	456	209	466	1222	39	206	0	345	1
FAS-AS1	0	0	0	0	0	2	0	47	0	0	0	15	0
FASN	363	264	82	227	267	263	26	126	128	171	6	80	0
FASTK	472	726	773	401	329	196	45	270	124	190	3	167	433
FASTKD1	320	642	1750	1727	590	558	505	1557	93	448	43	511	2037
FASTKD2	664	1035	2483	2429	1706	867	1178	2606	663	582	100	1049	181
FASTKD3	207	269	648	1104	581	272	255	867	69	92	12	182	589
FASTKD5	612	341	768	1116	1582	1094	634	2022	1361	1396	221	2316	1600
FAT1	0	0	0	0	1	0	0	0	1	0	0	0	0
FAT2	8	10	33	0	0	1	0	4	0	0	1	0	0
FAT3	1	103	0	0	0	0	0	0	3	5	0	0	2
FAT4	5	0	362	0	0	2	0	0	190	3	32	50	534
FAU	9269	7020	8027	9844	9162	8600	5539	6059	5395	6735	370	3185	5422
FAXC	0	0	0	0	0	0	0	4	0	0	10	0	0
FAXDC2	12	8	89	5	0	2	0	5	3	74	20	16	0
FBF1	8	0	32	8	31	24	0	4	0	17	0	0	0
FBL	5388	3538	2326	4188	3286	5826	1598	2872	3091	3777	177	2053	2506
FBLIM1	2	3	1	1	2	27	1	2	14	2	0	1	0
FBLL1	0	0	1	0	10	4	0	0	0	0	0	0	0
FBLN1	6	43	0	0	1	0	0	0	0	85	0	0	0
FBLN2	13	179	0	76	0	96	0	0	1	14	0	79	37
FBLN5	61	46	42	0	107	0	0	0	81	6	0	0	0
FBN1	152	17	278	964	166	4	238	176	211	21	11	233	1
FBN2	6	114	0	0	0	142	0	2	2	106	0	0	0
FBP1	95	281	0	0	0	140	0	0	80	24	14	0	0
FBP2	0	0	0	0	0	0	0	0	2	0	0	0	0
FBRS	482	465	231	199	221	357	136	207	524	662	13	193	0
FBRSL1	518	455	161	320	183	520	69	77	227	127	6	65	1
FBXL12	209	369	321	368	761	144	136	500	354	513	44	534	94
FBXL13	17	9	34	15	0	42	0	33	3	8	0	0	0
FBXL14	0	99	63	0	2	2	0	0	2	81	4	3	0
FBXL15	352	631	677	459	381	266	111	372	122	141	12	124	144
FBXL16	0	0	0	6	7	0	0	0	0	0	0	0	0
FBXL17	15	43	72	84	47	148	42	36	9	44	3	42	0
FBXL18	117	48	6	65	13	11	16	20	6	26	0	23	1
FBXL19	4	16	0	0	9	1	0	0	16	1	0	0	1
FBXL19-AS1	0	82	21	19	0	50	0	43	50	57	0	42	2
FBXL2	22	16	73	21	187	14	5	0	0	6	0	0	0
FBXL20	683	382	934	826	350	158	602	820	433	729	64	721	1778
FBXL21	0	3	0	0	0	0	0	0	0	0	0	0	1
FBXL22	4	0	0	0	0	6	11	0	1	8	0	0	0
FBXL3	372	176	787	1209	2519	677	1220	2410	1448	1699	239	2739	400
FBXL4	187	92	251	477	139	607	53	805	189	72	19	255	1095
FBXL5	549	1115	4981	2084	1581	694	1513	4798	864	1448	324	2831	1737
FBXL6	106	65	222	93	0	34	5	92	3	19	0	52	0
FBXL8	11	0	24	0	0	0	0	7	0	0	0	4	0
FBXO10	0	14	4	0	2	9	49	23	0	2	1	40	0
FBXO11	1249	442	1206	2210	1644	1587	1179	1603	1929	4115	280	2472	785
FBXO15	57	3	0	0	0	0	0	1	0	92	0	27	0
FBXO16	3	28	38	0	0	0	7	0	0	2	4	0	2
FBXO17	0	0	36	0	0	0	1	0	41	49	0	10	1
FBXO18	897	989	795	1552	297	313	140	765	268	220	17	667	213
FBXO21	122	327	622	780	85	93	288	281	139	541	81	207	831
FBXO22	310	362	662	993	524	459	479	871	3	231	36	338	1428
FBXO22-AS1	0	0	1	0	0	0	0	0	0	0	0	0	0
FBXO24	3	0	0	2	0	0	0	0	0	0	0	8	0
FBXO25	120	32	167	605	373	146	139	925	473	166	7	176	64
FBXO27	0	0	1	0	0	2	1	1	1	0	0	0	0
FBXO28	154	357	1176	841	648	118	515	763	217	663	93	762	1397
FBXO3	34	201	660	384	85	110	270	460	651	408	74	457	18
FBXO30	128	187	88	335	125	184	169	307	115	317	59	507	803
FBXO31	233	101	191	270	171	215	54	163	0	251	13	146	0
FBXO32	88	37	251	79	12	26	0	1	94	60	1	35	0
FBXO33	266	477	567	632	1374	422	591	1880	1097	1891	156	963	376
FBXO34	109	570	677	924	946	496	381	1093	393	706	80	714	485
FBXO36	5	66	132	49	106	180	64	171	60	182	20	135	155
FBXO38	808	532	773	766	320	310	577	283	243	700	26	286	859
FBXO4	498	302	1297	1582	1250	387	1006	1525	368	731	64	792	163
FBXO40	8	5	19	1	0	0	0	2	0	16	0	0	0
FBXO41	233	482	176	139	334	374	56	138	55	398	3	176	45
FBXO42	200	232	379	429	255	114	100	213	151	83	3	276	0
FBXO43	173	67	18	141	20	140	0	3	0	0	0	21	0
FBXO44	30	32	89	4	0	100	4	0	30	26	10	9	0
FBXO45	403	494	120	1018	243	750	677	654	502	480	49	506	1
FBXO46	297	232	101	131	172	127	9	90	42	86	0	38	125
FBXO48	46	28	9	37	0	25	24	89	12	20	3	31	0
FBXO5	133	306	396	894	46	203	60	789	150	815	34	186	0
FBXO6	71	16	350	54	67	1	1	44	1	85	20	41	3
FBXO7	2282	1929	4862	17357	8727	1970	2017	25038	3385	3263	288	15084	2581
FBXO8	11	37	109	138	128	0	0	336	39	108	13	319	0
FBXO9	240	376	608	503	1040	285	308	717	583	243	36	544	1
FBXW10	0	0	0	0	0	0	0	1	0	0	0	0	0
FBXW11	405	626	868	600	780	399	171	375	91	358	79	266	302
FBXW12	2	0	0	0	0	0	0	0	1	0	0	0	1
FBXW2	411	557	1745	1509	1887	700	1409	1532	459	557	57	909	1493
FBXW4	307	442	198	366	454	194	293	272	196	190	16	114	352
FBXW4P1	31	159	76	24	24	74	87	12	426	647	20	84	295
FBXW5	526	570	438	213	199	198	29	184	293	292	13	308	25
FBXW7	521	271	616	888	328	384	648	565	219	405	13	135	1530
FBXW8	208	214	369	324	242	122	150	388	150	86	14	250	1
FBXW9	428	252	726	378	371	292	255	214	294	196	8	408	0
FCAMR	0	1	0	0	0	0	0	0	0	0	0	0	0
FCAR	1	0	9	1	1	1	1	1	1	14	0	1	1
FCER1A	3257	588	4992	11292	10207	12	6313	12600	1022	405	144	3703	12
FCER1G	360	708	224	538	417	201	168	227	37	202	13	70	134
FCER2	0	39	0	0	0	0	0	0	0	15	0	0	0
FCF1	211	154	386	357	370	140	161	450	57	218	10	226	54
FCGBP	0	3	0	0	0	0	0	26	0	0	0	2	0
FCGR1A	4	58	4	0	0	26	0	0	0	31	0	0	0
FCGR1B	0	27	3	0	0	14	0	0	0	18	0	0	0
FCGR1C	0	18	4	0	0	3	0	0	0	12	0	0	0
FCGR2A	0	64	6	300	1048	0	0	1095	292	94	2	565	0
FCGR2B	0	4	0	11	22	0	0	14	9	5	0	13	1
FCGR2C	3	22	4	85	257	2	0	307	93	36	0	167	0
FCGR3A	140	211	0	0	0	0	0	0	1	0	0	0	0
FCGR3B	16	20	0	0	0	0	0	0	0	0	0	0	0
FCGRT	400	723	1123	1368	398	67	128	1179	335	612	45	1173	127
FCHO1	97	169	165	92	175	153	15	43	64	73	8	15	16
FCHO2	30	89	650	207	10	139	117	395	105	240	63	471	352
FCHSD1	67	174	77	67	328	57	14	6	63	120	4	12	24
FCHSD2	698	1193	1577	1446	1707	938	405	1106	728	1608	134	295	952
FCN1	0	0	16	0	0	4	0	0	0	0	0	0	0
FCN2	0	0	0	3	0	0	0	0	0	0	0	0	0
FCN3	0	0	3	0	0	0	0	1	0	0	0	0	0
FCRL1	7	0	0	0	0	0	0	0	0	0	0	0	0
FCRL2	0	0	0	1	0	0	0	0	0	0	0	0	0
FCRL3	0	0	0	0	0	0	0	0	0	0	0	0	2
FCRL4	0	0	0	0	0	0	0	1	0	0	0	0	0
FCRL5	0	1	0	0	0	0	0	0	0	0	0	0	0
FCRL6	24	0	0	0	0	0	0	0	0	0	0	0	0
FCRLA	126	9	0	0	0	0	0	0	0	41	0	0	0
FCRLB	5	0	0	0	0	0	1	24	34	0	0	0	0
FDFT1	1497	2081	4138	3374	4155	1710	4426	3277	2174	2827	266	1998	2148
FDPS	844	904	1694	3439	1871	790	1300	2103	471	681	80	1031	1401
FDPSP2	54	42	48	111	66	32	41	66	25	21	2	29	53
FDX1	547	850	607	539	649	923	518	800	346	728	57	357	516
FDX1L	238	211	239	272	118	89	66	201	13	62	6	56	0
FDXACB1	48	233	474	721	40	114	116	363	1	18	2	57	1
FDXR	22	29	26	8	6	21	0	19	49	58	0	51	0
FECH	567	502	1052	3671	1563	377	684	5693	443	650	46	1536	2403
FEM1A	132	347	510	711	737	385	236	494	452	173	9	209	339
FEM1B	947	1236	1255	2021	1221	715	1222	1469	843	1762	100	1599	47
FEM1C	182	290	365	270	1006	705	376	976	567	1447	179	974	628
FEN1	1351	1367	1771	2615	2478	781	366	1290	217	944	40	389	64
FENDRR	0	0	0	0	0	0	0	1	0	0	0	0	0
FER	141	59	162	47	380	101	113	208	76	215	6	130	5
FER1L4	0	0	0	2	0	0	0	2	0	0	0	0	0
FER1L5	0	0	0	0	0	0	0	0	0	0	0	5	0
FER1L6	0	0	26	0	0	0	0	0	0	0	0	0	0
FER1L6-AS1	0	0	29	0	0	0	0	0	0	11	0	0	0
FERMT1	249	93	72	542	0	29	98	0	104	48	5	12	0
FERMT2	0	0	7	0	0	0	0	0	0	0	0	0	0
FERMT3	1657	944	2301	1199	2333	753	351	901	1052	804	11	1201	253
FES	763	1309	1067	690	309	768	74	259	264	799	7	397	342
FEZ1	1	0	0	0	0	0	0	0	181	0	0	0	2
FEZ2	293	692	549	692	165	693	376	764	241	745	32	377	958
FFAR2	0	0	0	1	0	1	0	0	0	0	0	0	0
FFAR3	0	0	0	0	0	0	0	0	4	14	0	0	0
FFAR4	0	0	1	0	0	0	0	0	0	1	0	0	0
FGA	0	0	0	0	0	0	0	0	0	0	0	0	2
FGB	0	0	0	0	0	0	0	0	1	0	0	0	0
FGD1	0	17	38	25	35	1	4	44	2	26	5	11	34
FGD2	0	73	5	0	0	44	0	0	0	94	0	0	1
FGD3	559	327	1078	331	145	238	58	158	229	288	11	135	0
FGD4	12	156	83	29	0	39	18	14	77	47	1	106	2
FGD5	109	22	828	3	90	41	212	0	550	181	83	0	0
FGD5-AS1	1780	1520	2506	4030	2035	1102	980	1649	799	1464	47	725	498
FGD5P1	1	0	0	0	1	0	0	0	0	0	0	0	0
FGD6	0	34	226	0	0	72	0	0	3	232	0	6	5
FGF1	0	0	0	0	0	0	0	0	2	0	0	0	0
FGF11	5	5	5	4	0	6	5	0	0	17	1	1	0
FGF12	0	0	0	0	0	0	0	0	0	3	0	0	0
FGF13	0	0	0	0	0	0	6	0	1	0	0	0	0
FGF14-AS2	96	122	371	223	55	0	1	51	0	12	0	44	0
FGF14-IT1	3	0	0	0	0	0	0	0	0	0	0	0	0
FGF16	27	0	22	0	37	43	0	0	13	23	6	0	0
FGF17	0	0	3	0	0	0	0	0	0	0	0	0	22
FGF18	62	0	0	0	66	48	1	0	0	12	0	0	0
FGF2	0	0	0	13	147	0	0	4	0	3	2	0	0
FGF5	1	0	0	1	0	0	0	1	0	0	0	0	0
FGF7	9	1	102	1	0	0	4	7	0	0	1	3	0
FGF8	7	19	0	0	0	0	0	7	0	3	0	0	0
FGF9	0	0	1	0	0	0	0	0	87	0	23	0	0
FGFBP2	0	122	0	0	86	0	0	0	0	0	0	0	0
FGFBP3	42	92	86	16	48	37	2	34	91	3	0	1	0
FGFR1	65	69	163	17	13	35	7	2	69	50	1	0	0
FGFR1OP	380	1069	786	1231	225	198	1307	1215	90	559	116	372	1466
FGFR1OP2	659	673	4408	2425	1695	590	1007	2652	838	886	216	1346	1344
FGFR2	0	0	0	0	0	0	0	0	0	1	0	1	0
FGFR3	1	0	27	48	0	0	0	0	4	0	0	2	0
FGFR4	0	0	18	1	48	0	0	0	0	0	0	0	0
FGFRL1	24	74	211	55	2	129	64	58	36	12	1	30	0
FGGY	0	12	422	68	124	119	88	145	7	71	9	86	0
FGL2	90	250	339	55	32	46	0	0	0	1	0	11	0
FGR	0	147	97	0	104	9	0	0	92	36	0	2	0
FH	860	876	2303	2461	1199	923	861	2620	383	734	72	1034	1109
FHAD1	0	1	0	2	1	1	0	0	0	0	0	0	1
FHDC1	0	0	0	140	2	0	0	60	0	1	0	0	0
FHIT	111	93	309	564	505	427	209	630	166	221	38	386	193
FHL1	690	1563	3881	930	2021	1394	1725	216	967	2373	458	1331	2944
FHL2	144	1	569	2555	643	1	330	2594	451	46	17	1799	0
FHL3	214	160	313	116	250	227	84	148	48	138	6	109	57
FHL5	0	0	0	0	0	0	0	0	1	0	0	0	1
FHOD1	1526	1021	838	1238	1048	1655	588	939	430	525	333	539	527
FHOD3	6	28	40	13	0	11	5	34	1	0	0	14	35
FIBP	1109	1459	2222	3397	2632	1449	1695	2293	820	1436	123	1241	1311
FICD	1	16	0	3	22	0	0	24	20	1	0	7	74
FIG4	166	329	657	184	401	73	191	572	198	176	63	545	1630
FIGLA	0	0	0	0	0	0	0	0	2	0	0	0	0
FIGN	30	0	3	0	0	0	0	0	0	0	0	3	0
FIGNL1	363	308	342	682	818	207	318	821	52	443	36	241	563
FIGNL2	7	1	23	0	0	0	0	0	0	0	0	0	0
FILIP1	1	16	0	0	1	2	0	0	0	0	0	1	0
FILIP1L	36	26	0	2	4	0	0	31	26	42	2	0	0
FIP1L1	1052	706	1556	1787	2090	811	515	1412	624	1216	361	1443	1073
FIRRE	283	47	512	266	179	60	303	938	22	603	30	450	135
FIS1	1278	970	1541	1499	1057	1011	961	2115	671	1137	121	1023	827
FITM1	24	0	0	16	2	0	0	1	0	0	0	0	0
FITM2	0	0	19	0	57	0	0	0	0	0	0	0	0
FIZ1	432	240	49	169	204	92	93	67	22	72	6	43	0
FJX1	0	0	2	13	0	0	0	0	0	0	0	0	0
FKBP10	12	0	0	0	21	0	13	0	37	0	0	0	0
FKBP11	1587	969	1348	1951	1494	1681	1370	1606	560	774	95	551	191
FKBP14	156	178	139	192	320	117	339	416	484	457	43	368	34
FKBP15	246	176	496	261	261	152	10	410	70	206	4	305	0
FKBP1A	3191	3813	7373	6886	5346	3934	4058	7372	2121	4793	376	3475	4320
FKBP1AP1	118	168	645	497	214	279	231	429	77	255	46	224	268
FKBP1B	3	0	0	240	23	0	0	193	176	0	0	26	0
FKBP2	1465	889	601	1110	719	1044	472	508	237	596	8	225	81
FKBP3	2642	3291	3843	7650	5671	2639	4006	6796	774	2380	171	2457	7414
FKBP4	1878	1242	1781	2501	1623	1761	441	1357	567	521	44	1227	342
FKBP5	1782	2047	5025	4274	2179	1464	542	2954	177	450	38	970	866
FKBP6	7	2	12	0	1	0	1	0	7	5	2	0	1
FKBP7	122	258	179	520	349	180	417	453	0	228	38	76	198
FKBP8	128	196	209	75	47	61	1	47	26	102	13	37	0
FKBP9	22	1	216	99	26	0	80	196	14	1	11	74	95
FKBP9P1	12	0	56	41	15	0	43	106	9	1	2	64	57
FKBPL	200	120	170	14	14	5	0	3	0	10	0	20	1
FKRP	116	134	47	155	34	39	50	17	103	58	2	9	0
FKSG29	0	0	0	0	0	0	0	20	0	0	0	0	0
FKTN	212	365	202	402	1332	546	431	643	185	174	15	76	262
FLAD1	750	756	1471	2458	1438	743	317	1384	269	637	40	842	1
FLCN	209	293	244	379	105	107	13	349	56	21	4	54	127
FLG	0	7	0	0	0	0	0	0	0	0	0	0	0
FLG-AS1	13	27	0	0	0	2	0	0	1	137	0	0	0
FLG2	7	10	1	0	1	1	0	0	0	0	0	0	2
FLI1	1108	1060	2629	1281	1704	1128	1125	516	639	414	125	481	3304
FLII	791	1607	924	857	1102	882	555	557	520	793	22	522	629
FLJ10038	313	227	327	432	939	319	126	327	254	446	38	45	270
FLJ12825	1	0	0	0	0	3	0	3	0	1	1	0	1
FLJ13224	27	0	0	5	1	0	0	0	0	19	0	19	1
FLJ16779	0	0	0	0	0	1	0	0	0	0	0	0	0
FLJ20021	55	36	49	17	19	6	10	27	14	17	0	9	0
FLJ21408	1	0	1	0	0	0	1	0	12	0	0	1	0
FLJ22184	0	0	0	2	0	0	3	0	0	0	0	4	0
FLJ22447	0	6	59	0	0	1	0	0	0	0	0	0	0
FLJ23867	0	18	17	0	0	23	0	0	0	5	0	1	0
FLJ27354	18	36	68	0	1	14	9	0	4	20	2	2	0
FLJ30403	63	88	87	31	1	3	0	6	1	0	1	0	0
FLJ30679	0	9	0	0	0	0	0	0	1	0	0	0	0
FLJ31104	1	3	1	1	0	1	0	0	13	1	0	1	0
FLJ31306	2052	2418	6309	2912	4633	2979	5300	5232	3029	5089	1075	3187	14093
FLJ31356	1	0	1	1	6	1	0	0	0	0	0	0	1
FLJ32255	119	353	573	332	109	42	23	964	60	145	34	189	126
FLJ33581	0	0	0	0	0	0	0	0	0	0	1	0	0
FLJ34503	0	2	125	0	0	0	0	0	0	0	0	0	0
FLJ35934	8	29	0	3	6	5	5	4	0	11	0	1	1
FLJ36000	0	0	0	0	0	1	0	0	0	0	0	0	1
FLJ36777	36	1	0	0	0	0	13	0	38	0	0	9	0
FLJ37035	7	0	0	1	2	4	0	4	0	0	0	0	0
FLJ37201	7	0	36	0	0	0	0	0	0	0	0	0	0
FLJ37453	588	422	437	457	501	415	685	541	435	284	101	311	62
FLJ37505	0	0	0	0	0	0	0	0	0	0	0	0	1
FLJ38122	0	0	25	0	0	0	0	0	0	0	0	0	1
FLJ38576	0	0	0	0	0	0	0	0	55	0	0	20	0
FLJ39080	0	0	0	0	0	0	0	2	0	0	0	0	0
FLJ41200	1	1	0	0	1	0	0	0	0	0	0	0	3
FLJ41941	0	0	0	0	3	0	0	1	0	0	0	0	0
FLJ42102	4	0	0	1	0	1	1	0	2	0	0	1	0
FLJ42351	0	3	0	0	0	0	0	0	0	0	0	0	0
FLJ42393	0	9	30	0	0	10	17	18	0	39	0	0	0
FLJ42627	143	179	101	173	194	225	17	87	89	85	0	36	45
FLJ42969	0	0	0	0	0	0	0	0	1	0	0	0	0
FLJ43315	0	0	0	1	0	0	0	0	0	0	0	1	0
FLJ43681	15	18	38	43	39	5	19	58	12	8	0	7	20
FLJ43879	0	0	0	0	0	0	0	0	0	0	0	1	0
FLJ44313	0	3	0	0	0	0	0	0	0	0	0	0	0
FLJ44511	1	0	0	0	0	1	0	7	29	0	0	13	0
FLJ44635	4916	4498	2184	3068	3822	5164	2024	1860	4020	3738	105	819	2961
FLJ45079	0	0	0	0	1	0	0	0	0	1	0	0	1
FLJ45513	5	20	37	37	0	0	0	4	29	0	0	0	0
FLJ46906	45	85	66	36	21	132	29	33	16	5	6	24	1
FLNA	997	1250	554	1773	1231	1108	204	1020	627	964	23	1256	3
FLNB	833	1230	2642	271	472	143	454	58	807	1063	30	194	936
FLNC	0	0	0	0	0	29	0	0	0	32	0	1	0
FLOT1	351	697	1068	1554	545	282	188	1419	400	618	61	832	3
FLOT2	1703	1247	1641	1691	1096	458	141	1694	604	1008	75	1513	218
FLRT1	0	0	14	0	0	0	0	0	0	0	0	0	3
FLRT2	1	0	0	0	0	0	0	0	0	0	0	0	0
FLT1	16	0	17	0	1	1	0	27	1	0	3	1	0
FLT3	1091	3973	7244	220	965	3032	1378	1	535	5525	370	112	2885
FLT3LG	47	52	68	30	5	17	8	3	44	31	7	1	0
FLT4	0	0	0	2	0	0	0	0	2	0	0	0	0
FLVCR1	1045	1058	1363	1527	1064	636	582	579	1075	773	97	548	1253
FLVCR1-AS1	153	62	344	146	0	18	88	31	34	28	4	1	56
FLVCR2	0	10	0	0	0	0	0	0	0	0	0	0	3
FLYWCH1	509	268	307	489	528	444	181	379	118	116	20	131	240
FLYWCH2	142	179	399	382	472	113	109	370	12	110	29	185	165
FMN1	0	3	6	0	8	27	0	0	0	17	0	0	1
FMN2	0	0	0	0	0	1	0	0	2	0	0	2	0
FMNL1	490	590	444	644	857	462	227	345	943	1063	28	496	15
FMNL2	0	76	0	145	0	1	92	49	4	69	3	1	0
FMNL3	27	168	207	171	282	0	89	8	88	82	1	34	9
FMO2	0	0	0	0	0	0	0	0	0	0	0	0	3
FMO3	1	0	0	0	0	0	0	0	0	0	0	0	0
FMO4	15	169	264	27	0	2	87	0	0	0	4	4	0
FMO5	10	58	422	55	0	14	13	326	95	150	7	189	1164
FMO6P	0	0	0	0	0	0	0	0	0	0	0	0	1
FMOD	0	0	63	1	0	0	0	0	0	0	1	0	0
FMR1	255	497	1277	621	780	506	432	707	538	866	79	486	494
FMR1-AS1	0	0	0	0	1	0	0	0	3	2	0	0	0
FMR1NB	0	0	0	0	0	0	0	0	0	0	0	1	0
FN1	20	38	58	72	10	65	11	35	4	1	3	31	148
FN3K	1	7	0	8	1	0	0	35	13	0	2	5	39
FN3KRP	793	479	907	1041	362	552	218	634	567	728	50	348	455
FNBP1	2110	2311	2676	1572	1162	2267	1206	779	1857	2030	132	749	2293
FNBP1L	237	174	879	901	252	96	269	236	200	221	44	227	389
FNBP4	1790	1404	1608	2774	2501	1784	1094	1106	2015	3717	310	1788	2321
FNDC1	0	1	0	0	0	0	0	0	0	0	0	0	0
FNDC3A	545	1499	2202	1821	1215	2360	1016	1126	815	1059	72	1336	953
FNDC3B	739	814	541	600	1374	1108	509	655	1388	1093	27	571	526
FNDC5	0	0	0	0	1	0	0	0	0	0	0	0	0
FNDC7	0	0	0	0	0	0	22	0	0	5	0	16	0
FNDC8	23	0	0	14	0	1	5	23	0	3	2	24	0
FNDC9	0	5	7	0	0	0	0	0	1	9	0	0	0
FNIP1	815	1197	2256	2153	2271	1822	2911	3988	1914	2348	395	1982	6373
FNIP2	131	143	612	205	156	161	95	656	66	104	31	38	0
FNTA	756	629	1122	2029	1396	1528	1364	1783	371	1189	41	939	2923
FNTB	0	0	14	30	20	8	0	8	0	3	0	14	0
FOCAD	192	437	244	1218	870	416	536	237	433	205	50	600	845
