NBM_91_bulk_CMP	NBM_91_bulk_GMP	NBM_91_bulk_HSC	NBM_91_bulk_MEP	OX1407_bulk_CMP	OX1407_bulk_GMP	OX1407_bulk_HSC	OX1407_bulk_MEP	OX1570_bulk_CMP	OX1570_bulk_GMP	OX1570_bulk_HSC	OX1570_bulk_MEP	OX753_bulk_HSC
ABHD16B	3	73	23	30	42	39	0	18	46	29	0	3	0
ABHD17A	4	7	3	9	10	3	0	3	12	6	1	4	0
ABHD17B	447	836	1070	629	490	1042	1662	592	1289	2172	100	526	3269
ABHD17C	51	472	304	395	140	490	61	33	212	246	3	53	2
ABHD2	300	389	849	1778	1262	341	596	2288	482	700	114	1242	611
ABHD3	341	754	1476	641	732	553	610	274	246	641	29	324	79
ABHD4	79	133	684	197	469	403	175	389	239	172	38	510	71
ABHD5	396	281	599	711	221	168	125	602	478	187	19	395	0
ABHD6	66	7	72	181	39	46	30	0	0	0	0	0	204
ABHD8	53	42	173	47	40	23	17	22	10	40	6	16	74
ABI1	1463	2040	4328	3038	3282	1714	2931	5363	2225	4493	410	3853	3522
ABI2	662	820	1319	1013	922	479	488	730	457	1709	220	1086	1849
ABI3	0	34	0	0	0	0	10	0	0	13	0	0	1
ABI3BP	1	1	54	0	0	0	2	0	0	1	18	0	5
ABL1	596	1006	223	570	493	850	380	357	388	491	14	243	1
ABL2	448	860	541	538	628	780	487	377	651	277	33	493	547
ABLIM1	1008	1094	5098	1354	1346	1069	1206	828	780	1272	131	985	1711
ABLIM2	0	0	0	0	0	0	0	0	0	1	0	0	0
ABO	0	10	49	18	0	0	0	104	2	5	19	152	0
ABR	268	411	212	45	70	126	88	0	47	367	8	99	10
ABRA	0	0	66	7	4	0	0	0	0	0	8	0	0
ABRACL	2495	3060	3478	4615	5699	2942	4242	3184	1314	2236	74	659	3514
ABT1	747	760	2278	2345	1352	454	667	1311	660	639	44	1153	317
ABTB1	287	172	202	122	97	26	9	84	28	29	5	116	0
ABTB2	14	61	2	26	4	161	0	0	56	6	0	1	0
ACAA1	892	519	1338	910	481	892	317	435	186	1159	34	767	164
ACAA2	819	1513	1631	3997	1321	1767	1983	3692	884	1827	109	2206	1610
ACACA	163	415	573	991	558	804	243	675	324	344	63	405	88
ACACB	89	46	117	18	23	2	9	23	101	21	32	61	0
ACAD10	224	80	448	214	416	68	17	77	97	43	11	118	314
ACAD11	0	9	58	19	0	5	0	62	3	2	3	19	0
ACAD8	403	491	1271	896	525	229	372	797	285	418	15	843	111
ACAD9	600	464	613	1115	493	328	61	445	55	373	1	597	123
ACADL	0	0	12	0	0	0	0	0	0	0	0	0	0
ACADM	1240	1054	3826	4772	3332	1300	3877	5636	584	1051	127	2618	2287
ACADS	57	177	270	50	10	139	19	118	99	72	3	210	4
ACADSB	339	186	851	778	145	129	515	980	143	249	37	471	1190
ACADVL	2704	2552	2028	1753	1228	2328	208	1439	1701	1681	45	835	688
ACAN	0	0	0	0	0	0	0	0	1	0	0	0	1
ACAP1	455	423	646	211	615	822	113	199	282	320	11	98	240
ACAP2	858	1567	2313	1128	1851	2188	1904	2430	1021	1568	169	955	4247
ACAP3	118	73	37	45	85	91	21	24	53	34	2	2	0
ACAT1	840	806	1841	5436	1099	1147	1762	5206	120	1182	77	2163	3720
ACAT2	383	507	1707	1892	930	523	1391	1331	136	835	34	656	470
ACBD3	669	531	619	585	1211	593	805	738	344	861	35	649	876
ACBD4	9	22	76	9	0	4	1	2	9	39	3	76	3
ACBD5	204	148	1129	220	305	126	351	492	152	559	52	922	954
ACBD6	965	533	905	1999	2295	1508	868	1525	899	966	104	688	635
ACBD7	2	0	23	24	2	85	15	28	36	5	3	27	7
ACCS	658	342	369	301	637	802	126	745	438	418	13	452	1
ACD	280	334	803	337	421	328	181	442	132	145	12	386	98
ACE	0	0	81	0	0	0	4	0	0	0	11	0	0
ACE2	0	0	0	0	0	0	0	67	0	0	0	0	0
ACER2	0	0	0	8	0	0	0	0	0	0	0	70	124
ACER3	501	427	282	682	546	190	404	657	794	397	11	415	583
ACHE	0	0	0	0	0	3	0	2	0	0	0	4	0
ACIN1	1305	922	497	983	620	1154	160	345	975	858	39	344	395
ACKR1	0	0	0	185	0	0	0	119	0	0	0	41	0
ACKR2	13	0	0	0	1	7	1	0	0	13	0	0	0
ACKR3	56	178	509	63	0	193	0	0	0	42	4	28	1
ACKR4	5	5	0	0	0	0	0	19	0	8	0	37	0
ACLY	1996	1313	2361	3616	3509	2008	2065	2961	1019	1501	42	1430	642
ACMSD	1	14	0	0	0	0	0	0	0	1	0	0	0
ACN9	169	492	997	2270	1155	775	1272	3016	402	371	38	533	2038
ACO1	354	52	591	608	320	121	288	1068	128	91	67	850	54
ACO2	22	31	1271	595	245	21	24	405	437	356	7	775	225
ACOT1	63	81	383	520	294	106	182	510	98	117	26	222	0
ACOT11	0	3	15	0	29	34	0	0	42	2	5	0	0
ACOT13	358	617	669	1565	1607	487	592	1326	106	296	35	389	405
ACOT2	122	164	692	745	518	211	289	825	134	185	49	402	0
ACOT4	36	1	191	393	467	30	0	127	0	0	0	139	0
ACOT6	0	0	37	0	0	4	0	0	0	10	0	17	0
ACOT7	489	387	496	652	456	627	206	503	275	662	7	374	0
ACOT8	223	258	368	276	55	104	14	204	4	183	3	77	193
ACOT9	253	213	667	1010	22	330	196	1002	153	31	60	293	2
ACOX1	236	486	483	478	377	360	523	432	269	178	13	236	79
ACOX2	9	35	459	0	60	121	16	13	1	48	59	0	109
ACOX3	49	171	543	257	32	93	59	102	0	63	22	117	28
ACOXL	0	0	0	0	0	0	0	0	1	0	0	0	0
ACP1	748	1470	5108	5574	5628	2349	7895	6671	2809	4168	785	5629	5631
ACP2	150	39	591	236	83	9	0	25	50	11	0	43	1
ACP5	56	31	118	1	15	41	0	0	10	58	0	76	0
ACP6	147	106	602	228	194	419	299	316	92	126	19	502	1
ACPP	0	0	24	0	90	47	0	0	4	50	0	0	0
ACPT	0	10	0	0	0	3	5	0	0	10	0	0	0
ACR	13	0	0	0	3	9	0	0	0	0	0	0	0
ACRBP	154	74	180	77	73	16	161	0	90	37	1	52	0
ACRC	58	6	97	33	0	0	0	26	105	3	5	18	0
ACRV1	17	23	4	10	0	0	0	0	12	0	0	0	0
ACSBG1	18	3	0	15	0	62	0	0	0	47	0	0	315
ACSBG2	0	8	16	0	0	12	0	4	0	0	0	0	0
ACSF2	195	213	305	170	453	320	73	70	145	219	1	190	221
ACSF3	174	177	747	124	16	148	32	147	87	46	8	149	14
ACSL1	345	293	1163	834	1102	1277	964	1121	172	587	84	605	1142
ACSL3	217	339	284	939	743	249	891	1348	301	568	63	776	592
ACSL4	716	586	423	1982	1326	261	551	2908	584	913	92	514	902
ACSL5	490	827	2306	1979	782	1658	1285	2783	472	407	27	1405	2231
ACSL6	0	0	1	0	0	1	1	1	2	1	0	0	0
ACSM1	0	0	0	126	93	123	67	298	230	55	0	396	0
ACSM2A	0	0	0	0	3	0	1	0	1	0	0	0	0
ACSM3	22	25	1462	819	253	54	982	733	182	93	152	1750	896
ACSM4	0	0	0	0	0	0	0	0	0	0	0	0	1
ACSM5	0	0	1	3	2	0	0	0	2	0	0	0	1
ACSM6	8	1	0	0	0	0	0	0	11	0	0	1	0
ACSS1	1076	1447	1523	3153	1010	930	270	1783	653	792	50	1100	1126
ACSS2	200	462	550	445	495	576	141	183	73	132	7	149	903
ACSS3	0	0	19	0	0	0	0	0	2	0	1	0	0
ACTA1	65	127	192	209	174	66	40	165	62	113	8	108	36
ACTA2	91	159	255	36	4	71	124	142	0	61	6	51	0
ACTA2-AS1	0	0	0	0	0	0	2	0	1	1	0	0	0
ACTB	37178	53681	74075	76282	72127	38678	17022	58678	26273	48180	1355	42004	17873
ACTBL2	0	0	0	0	0	0	0	0	1	0	0	0	0
ACTG1	21044	39265	32096	26797	29871	29810	17709	18288	19937	44734	1983	16101	11292
ACTG1P4	2	27	25	14	16	4	11	16	5	16	1	7	1
ACTG2	1	0	0	0	1	0	0	0	1	1	0	0	2
ACTL10	27	121	4	3	1	0	0	0	0	0	0	0	2
ACTL6A	830	1399	3511	5978	1605	843	2948	5453	443	709	73	791	1
ACTN1	1282	1523	548	782	1426	1342	223	497	756	924	7	493	232
ACTN1-AS1	0	0	0	0	0	0	0	2	0	0	0	0	0
ACTN2	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTN3	0	0	0	3	0	1	0	0	0	0	0	0	0
ACTN4	346	379	250	207	220	250	44	126	229	277	3	75	90
ACTR10	530	1030	1847	2937	1608	1291	1844	3098	1044	1625	237	1923	1559
ACTR1A	567	504	1213	1257	922	379	379	608	612	606	87	973	2
ACTR1B	922	772	712	647	378	1121	222	419	739	576	13	640	644
ACTR2	3194	3892	2987	4738	4960	3687	2752	3314	2657	2600	92	2437	3324
ACTR3	1486	2872	4075	4629	4606	2991	3244	7066	2373	4059	245	5183	4290
ACTR3B	219	64	185	36	295	163	177	135	15	73	7	97	90
ACTR3BP2	0	1	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	1	1	3	0	2	1	0	2	1	1	4
ACTR3C	119	61	162	39	44	3	15	124	3	43	10	48	199
ACTR5	269	263	385	294	170	386	340	116	550	207	32	369	444
ACTR6	377	227	1496	1924	235	176	395	1624	174	270	66	453	598
ACTR8	226	156	478	552	360	158	168	417	137	303	46	413	0
ACTRT3	2	81	0	18	0	29	0	9	0	10	6	5	0
ACVR1	44	6	182	595	168	15	228	266	188	0	2	95	678
ACVR1B	102	198	94	0	64	52	4	1	29	97	12	4	0
ACVR1C	0	0	0	0	0	0	0	0	0	0	0	0	6
ACVR2A	34	73	813	105	0	61	195	17	72	160	36	46	22
ACVR2B	258	198	87	184	114	53	184	40	0	74	2	0	0
ACVR2B-AS1	0	0	0	0	0	0	1	0	2	0	0	15	0
ACVRL1	0	0	0	0	0	0	0	0	0	0	1	0	1
ACY1	9	2	89	121	8	6	0	73	4	18	0	56	20
ACY3	0	734	189	0	0	83	0	0	16	1421	15	0	0
ACYP1	556	396	857	1171	778	603	748	1038	312	308	35	192	393
ACYP2	161	273	335	151	230	414	410	349	87	287	11	146	333
ADA	1400	5299	3810	1077	1379	2357	823	671	621	4032	230	446	1340
ADAL	204	221	373	382	392	106	273	313	69	56	7	326	0
ADAM10	1018	960	1334	1752	1953	1844	1162	1829	171	1192	64	402	373
ADAM11	20	56	0	0	0	0	21	0	8	0	0	20	1
ADAM12	0	0	0	1	0	0	0	0	2	0	0	0	0
ADAM15	125	208	53	47	120	186	47	18	376	101	0	15	0
ADAM17	899	642	1546	1342	1651	1404	610	1330	1552	1442	204	679	2832
ADAM19	0	10	39	0	0	0	0	0	0	0	0	0	0
ADAM1A	100	101	342	195	327	11	177	229	0	0	0	21	92
ADAM2	0	2	0	0	0	0	0	0	0	0	0	0	0
ADAM20P1	0	0	89	0	6	0	0	0	0	0	4	1	0
ADAM21	3	0	0	0	0	0	0	0	0	0	0	0	0
ADAM22	212	226	433	264	814	723	367	195	222	100	23	211	933
ADAM23	14	0	0	0	1	2	0	0	0	0	0	0	0
ADAM28	208	828	4509	502	1638	752	413	498	600	1281	301	411	5016
ADAM32	0	6	95	17	0	74	0	112	67	109	18	18	0
ADAM3A	0	0	0	0	0	0	1	0	0	0	0	0	0
ADAM5	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM8	616	75	359	158	180	35	24	234	642	126	21	307	39
ADAM9	107	229	192	126	321	248	139	414	925	973	126	587	0
ADAMDEC1	0	0	0	0	3	0	0	0	0	0	0	0	0
ADAMTS1	35	0	180	132	24	0	0	2	0	6	0	204	1
ADAMTS10	5	0	41	3	0	8	8	5	1	3	0	0	0
ADAMTS12	0	0	0	1	0	0	0	0	0	0	0	0	4
ADAMTS13	45	35	2	23	50	56	8	4	0	0	4	21	81
ADAMTS14	0	84	0	87	20	46	0	75	1	10	0	129	1
ADAMTS15	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTS17	0	1	0	2	0	1	0	0	0	0	0	0	1
ADAMTS18	1	127	0	0	0	0	1	1	0	0	0	0	0
ADAMTS2	0	2	0	3	0	0	0	0	0	0	0	0	1
ADAMTS3	0	0	0	815	0	0	0	237	9	114	0	565	1
ADAMTS4	1	0	0	0	0	1	0	1	0	1	0	0	2
ADAMTS5	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTS6	0	22	25	10	0	0	0	0	0	57	0	0	0
ADAMTS7	0	0	0	0	0	0	0	2	2	0	0	0	0
ADAMTS7P1	0	0	0	0	0	6	0	3	0	0	0	0	0
ADAMTS8	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAMTS9	0	0	0	0	0	0	0	0	0	0	3	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0	3	2	0	0	0
