Chip Run Info,F:\Biomark data\Fluidigm Backup\To be deleted 150412\20150307_NBM91_sort20150115_AG\ChipRun.bml,1362043439,96.96 (136x),GE 96x96 Standard v1,ROX,FAM-MGB,4/7/2015 3:10:50 PM,01:32:21,BIOMARK117
Application Version,4.1.3
Application Build,20140305.1515
Export Type,Heatmap Results : Inlet-based View
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,User Data (Detectors)


FAM-MGB Ct
,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,,
,,ADAM10,ADAT1,AHI1,AIFM2,ALOX5,ARF4,ARL11,ASXL2,ATG3,BCL2,BCL6,CCDC152,CD164,CD244,CD33,CD34,CD44,CD47,CD52,CD90,CD99,CDK4,CDK6,CDKN1B,CHEK1,CKLF,CLU,CRKL,CSF3R,CSRP1,CTNNB1,CXCR4,DDX6,DPP4,EMP3,EPT1,ERG,FCER1A,FREM1,GAS2,GAS5,GOLGA8A,H2AFY,HAVCR2,HIF1A,HSP70,HSP90AB1,IFITM1,IFITM2,IFNAR1,IGF1R,IL1RAP,IL2RA,LIMS1,MEF2D,MEIS1,MLLT3,MMRN1,MPL,MYC,MYCT1,MZB1,NUDCD2,PDK3,PFDN1,PIM1,POU2F1,PPP2CA,PRDX1,PREX2,PSMC4,PTPRE,PTRF,RGS2,RXFP1,SAT1,SELL,SELP,SERINC3,SERPINB1,SH2D3C,SIRT1,SLC22A1,SOD2,STK17B,TESPA1,TMEM17,TP53,TRIM22,VWF,BCR-ABL1 fusion,BCR,ABL1,HPRT1,GAPDH,B2M,,
10,10,15.0874628616494,999,999,2.5,999,999,18.3919996608792,999,19.1201540449783,18.0003202754207,999,18.1282570768725,14.8968646558506,16.9257593020379,999,14.8681937673642,16.8626069363236,18.8441706008894,12.990979908303,999,15.376747628729,999,15.8621864901735,999,17.2493993887051,15.5083223341123,19.1514583796379,16.3245669723037,999,19.9955727074853,17.9247766641907,22.3770412907604,15.0731082616962,999,16.8165823741298,999,15.5967927452105,999,999,999,11.8292651539688,20.9155800454002,15.8872410037843,999,17.6916665195028,999,14.4504153008603,16.5807027403054,15.4235141172604,999,16.4555714333848,999,999,16.6974665012018,16.6964748193194,18.1243115533767,16.8012005950364,16.2400922817228,19.0956814303484,17.7776489355363,999,999,999,999,999,19.2474098709436,999,19.0838676189022,13.8321500296226,16.5055542145444,18.4320173474969,999,16.0344525202527,16.9414623229833,999,17.7563972722603,16.3671675695737,999,17.1473090583162,16.8286923525517,999,19.2234555201517,999,15.9427946360423,16.2265085874595,999,999,16.5381268867996,15.582430592451,999,999,15.3070711823933,999,17.9612912946036,13.3103598478821,13.0672739578204,,
11,11,15.5701953622345,999,999,2.5,999,999,24.3861927532968,999,18.6899450468175,999,999,17.6557019521718,12.726875494289,17.5661260511315,999,15.075483444305,15.9400925319915,17.7060245327635,14.4817595820177,999,15.4130496337915,20.3372351319548,14.2413252938808,16.5596067348688,17.1152286236202,16.4225018835018,14.8524902913345,16.8143536047564,15.7871349684581,16.9814532013335,16.4727940089927,999,14.7272776164184,999,18.8527828464028,999,14.6973307696448,999,16.9877393995765,999,11.2017099299347,16.1383410145647,14.9816837943722,999,17.8696576109092,999,13.8388040066148,999,14.9544843434369,17.6579947155472,16.0122898250917,999,8.73876725224209,16.4529012059884,15.8964835925878,17.9606505862812,15.3710127031029,15.3561233686383,17.7230170555772,17.5721248212767,999,999,17.091684613009,999,18.4771180852211,18.6644014129201,19.3474587958241,17.14295150819,13.3987436387415,999,21.9655410507913,999,16.3235518010767,16.5367646869415,999,17.3024217097451,16.5581722500493,17.6102628543951,15.0630298132104,15.3990317074675,16.9402491151845,18.8102323672556,999,14.9636359378539,17.0514699896603,15.1699984525334,999,17.1442904226005,15.0850002627761,999,999,15.1577591267816,999,19.944525195132,12.9420625467266,13.7497234393316,,
12,12,15.4224644671023,999,999,2.5,999,18.9565697875821,999,16.024011669677,17.6725541835484,999,999,17.7000064699923,13.5356465062801,999,999,15.5175005852031,16.5649859287226,18.4174895533709,13.1522802880704,999,14.5826092826222,999,16.8864036531195,18.3225555849776,999,16.3471363578018,999,999,999,999,16.9012113831022,12.910275286707,14.3697132240424,999,999,999,999,999,999,999,12.8481430144944,999,17.1274295987006,999,999,999,15.9112517863289,999,14.6102861655843,999,17.5574397168169,999,999,14.7972773883777,16.2870088808401,999,17.1719755703142,16.5901324371768,999,999,999,999,999,999,18.8478407823963,999,999,999,15.5192802634258,999,999,18.0422651021794,999,19.0895623700033,999,18.4383789736772,999,999,15.9474072992982,999,18.0271640029199,18.9928299664607,999,15.696036694811,16.0903527263139,999,999,17.5844596787437,14.8806230802596,999,999,15.564893697463,999,999,13.8514395112483,12.7160612318583,,
13,13,17.3487631170854,999,999,999,999,18.5729789941668,999,17.737912802713,17.3887044598727,999,999,999,14.0310269846118,999,999,16.0732465194663,17.4855222704685,999,13.8873100976317,999,15.3373560505101,15.7379272727468,14.4919780620572,16.2342162733026,13.9859828625567,15.1239285619057,17.6937307207675,14.8040972954061,999,17.681210367057,16.0537303823883,13.5820548114785,13.8029659697457,999,18.5760955594299,999,15.941666585993,999,999,999,11.1714557021492,16.8561973363268,13.9904184825939,999,17.1648833476389,26.3376802327998,13.8094802142305,15.1112113630491,13.3646756277432,999,16.163052335539,999,999,16.4343735831992,15.9426102956001,17.764118305979,16.7374808540756,15.3617244406173,17.2109368257237,13.7906918773172,999,15.8942435728624,17.2015166369519,18.8749390592319,18.9298541874532,999,18.3465719412884,16.8751287173044,13.2890515612942,999,999,999,16.2724684638719,14.7060203677734,999,999,17.1250431608673,999,15.1843749335761,14.6556209751326,16.250982873034,19.1100450880288,999,15.1634899507555,17.1414512528963,16.4502264347097,999,14.2998069775994,15.6332783954438,999,999,14.171282861006,999,16.8961774514203,12.3802752241163,12.0396022222282,,
14,14,18.0550301679047,999,999,999,999,19.6639099334409,18.7231423435843,999,999,999,999,18.7020556737415,14.9356703816987,16.9812559146862,999,14.4480574133762,20.1643701422873,999,16.4402065033995,999,15.9267006562078,999,15.1645163596654,15.6664980488468,999,17.4432208397809,999,17.0037177871018,16.1835251019415,999,16.8453492868135,18.0766630383384,15.4848827989497,999,19.5868539546596,999,17.3120673360972,999,999,999,12.9594743232149,999,17.3336828956482,999,18.9785762525084,999,15.1285214843219,15.9576032514873,13.7576878434417,19.4822390494001,999,999,999,17.0041847230367,18.0853500776453,999,18.19069407568,17.4767280499167,999,15.3705478486288,999,18.8674216851436,999,999,18.8694889281687,20.1820263103581,999,999,14.0301116733341,17.8089237154449,999,19.2827401030665,18.5951161297587,999,999,19.1159663539098,16.8889570576984,999,15.6708206392382,17.0207350912398,15.753807821029,19.8715630628778,999,18.3405676677567,18.5035120504427,16.9128900740786,999,16.3407795658606,16.890435038314,999,999,15.8314772789599,999,19.3647442134201,13.6988080528067,13.4487070505349,,
15,15,17.4067348576954,999,999,2.5,999,19.2272884125291,999,16.5747861587119,17.4976583423773,19.9242507290642,999,18.1190425787387,15.285272111823,17.3043501232929,999,15.9267195607993,15.9480722886976,17.9716770553915,15.7478252409404,999,14.1690684404836,16.7862580794351,14.187666160304,16.3655084687326,15.2366082679674,15.1097437082802,999,15.7140262629426,14.2078308613844,18.0470689468345,16.7124523475001,16.3095381358762,15.8842728769676,999,17.8618491553076,999,17.4372905211265,999,999,999,12.4324010093798,18.3587916027368,15.0542992256999,999,19.2541392792906,21.4757411975098,14.5019647081666,14.6906427777013,12.9483564648732,18.7974894227881,16.8100821709157,19.2356912564379,999,17.1821206559903,16.4251032298105,17.9899908375742,17.639854044985,15.8461495242156,999,14.6145078297824,999,15.8510749172493,16.1293573925691,999,999,999,999,16.9908174187593,13.6199182369704,999,999,999,16.1285542127473,999,999,18.8829791734742,15.437404198163,999,15.321129901338,14.8175217464603,17.1799212531936,18.4170334169496,999,16.4636203467608,16.5944961913532,15.6797455500925,999,14.1817736233068,16.779237384753,999,999,14.6045465589156,999,18.7485560478111,12.3825957429752,12.0034653676159,,
16,16,15.1642090676423,18.391152926392,999,999,999,17.9955831792495,999,16.1439738305766,16.8953903299472,999,999,999,13.5209790904212,17.728342920163,999,15.6049569786622,16.7820804897369,19.1370233793955,14.8169834508983,999,16.4932661975961,16.1066865389779,13.6769171558641,17.3679079462421,14.115236927734,15.2154812642519,15.850066512788,15.3095409026524,999,18.9373494359709,15.8984997130605,13.3991489525193,13.5474446636037,999,16.9172182584234,999,15.3324464270504,999,999,999,12.3350069999693,17.5646367713343,14.520251473914,999,16.8753618200249,999,13.0092663701395,17.1208170448716,12.6738666926917,18.0159395429767,16.5817837620739,999,999,15.9720410550149,16.2893185877143,999,16.4324943688195,15.5939421759723,999,14.7004670211334,999,999,17.4314328425664,19.5812849961638,16.9349397900121,999,999,20.4830994533661,12.826651544536,16.3140587700386,17.7581710019726,999,17.6765610473399,999,999,999,15.0878381283169,999,14.1381746193293,15.7602897337652,16.8465347046259,999,999,16.2912441262485,17.8079501832285,16.7153127779266,17.3349242301174,14.7060116506402,15.1153851164161,17.6404821455242,999,15.0181874093209,26.3961752326465,23.5342379385792,12.0092652392772,11.8000869343981,,
17,17,16.1567683237332,999,999,2.5,999,17.7235324721135,25.3986517041863,17.0564535303357,19.004482640748,999,999,15.879578760902,14.2835083671609,999,999,14.346531176158,16.3046520249207,999,13.4487216223895,999,16.8194436927715,999,15.5955378172648,15.7476430865454,15.6696627205048,15.8863094481569,16.6518386305683,16.4336889561283,999,17.6041973601186,17.9954515178614,14.1839553874172,14.7990265563036,999,18.3620690615228,999,16.5131289692056,999,999,999,11.5523374832754,18.3748215955074,16.1380727326174,999,17.837168276463,999,14.0685858902425,15.2230766360866,13.6808179883345,18.1832245974383,16.5157341671869,999,4.08818925114926,15.8554144026359,17.1155966382811,999,17.3132207643994,16.7488044897626,18.2999369515041,14.7838851473717,999,999,999,19.5642169634274,999,999,19.1197304364082,19.0692984875501,13.7818939943139,999,999,999,17.2035760774824,999,999,999,15.8965614809184,999,14.7587857594919,15.6252957822157,16.987335778503,999,999,15.9654188562919,15.8714847780584,16.9056424252004,999,16.0419409342361,14.3570841287765,999,999,15.9857873442818,999,19.3932700124446,13.8789151290115,13.2163703319114,,
18,18,17.4173160542794,999,999,999,999,18.284399126132,17.7714716196196,999,18.2413122349773,999,999,17.9391921191619,14.0776482252515,999,999,14.6862423546771,15.9608636344993,999,13.7848537111329,999,15.7298828674334,18.4003353052511,15.9286337716322,17.8421938171105,999,15.5363392793194,17.3039421637362,16.2111759442788,999,999,17.272613951792,18.3486739726713,15.4887556157151,999,17.9298520265545,999,14.5695164729987,999,999,999,12.3304854921212,17.2387770399566,16.1354903978906,999,18.1866951804479,25.2508895904699,13.794470228293,14.5943356423945,13.9873217327547,19.0900389489635,16.9698656655782,999,999,16.9965670845306,17.3166877709443,999,14.9855507732134,16.4842575558969,18.0874725083703,999,999,999,999,999,999,999,19.8653346677213,17.993527071007,12.9352665203324,999,999,18.5923810024456,16.8575429061737,999,999,24.2083878478203,16.5031441889782,999,15.0355549480123,15.9630439019536,999,19.5927134876278,999,16.1187768782112,17.4629590792152,16.3235645059604,999,16.2057104302584,14.2765929108052,999,999,17.1837883022498,999,20.2558380575857,13.4242236388215,13.1331697670699,,
19,19,999,999,999,999,999,19.6032154070926,17.9170450871299,999,20.0208163061848,999,999,17.5872071420459,15.4021352121498,18.2244513347295,999,16.9344027864862,16.9888002235974,999,14.4782375724964,26.9846234169355,16.7563208795189,18.3490366618054,14.9268622847641,18.0010166514478,999,17.88186995242,17.2362876115804,16.3271435843299,999,999,17.2034517677003,14.425496003346,15.8460115219815,999,17.9117305031977,18.0513818638376,18.590340105596,999,999,999,12.9297560501523,18.4562655717893,18.6521111857554,999,18.4411114007752,999,14.3024255572865,17.357609815634,13.4471022399598,19.8863865595688,16.3474704621297,999,999,17.2732086889655,16.8106679028988,999,15.4049644630396,16.2160231598257,999,15.0393031460291,999,18.1604213046744,999,20.4490015530597,17.5302850184974,19.2754489359789,999,999,14.0841490678691,999,999,999,15.3778609210864,999,999,999,17.5518663607497,999,16.5401101571597,16.767734951834,999,17.7989187733168,999,16.9724845739177,17.6165262229701,16.3823930029639,999,16.3808303669092,14.0488824307514,999,999,15.5233121902595,999,999,14.2701293405022,13.1885040822633,,
