  Dim1	Dim2
    2.3766    3.1197
  -25.4305    9.7643
    5.3653    1.9835
   32.2071   31.6998
    1.9496    0.6488
  -23.4253  -11.5466
    4.7000   -0.2441
    3.8297    1.0527
    4.2074   15.7397
  -17.6814    5.2212
  -15.6057    4.6592
  -14.3802    4.9759
   27.9834   13.2628
   41.4137   19.5097
   41.3915   19.4955
   45.6968   21.7751
  -18.4733    6.4412
  -17.5400    7.5549
  -18.4388    8.3233
  -36.3870   21.9866
  -36.0908   22.8361
  -35.7633   19.6356
  -25.0009    0.4730
  -19.1457    6.6390
  -24.9609    1.8902
  -24.9861   -0.6070
  -35.2459   24.3997
   37.2483   26.7192
   36.4639   22.4633
   38.3268   26.0684
  -35.9560   20.4314
   39.9180   27.9971
   35.9696   17.2565
   13.7727   10.0278
   38.9413   22.0758
   51.4890    8.4347
   41.0016   24.5145
   39.3161   29.0865
   34.5124    2.1504
   13.1484    6.2909
   52.5554   17.9749
   33.2295   -8.8559
   36.0551  -10.4090
   52.6294    7.0620
   34.6182  -12.8345
   37.3201   35.7085
   53.2801    7.4886
   56.2745    4.0726
   57.4723   14.6926
   36.9642  -12.7534
   37.1629  -12.5385
   62.2932    6.9648
  -12.5197   12.9361
  -37.6818   -0.4905
  -35.3784   -8.1290
   -1.8287   18.0840
   -2.7400   16.7855
   -8.0697   23.1934
   -6.7806   25.8455
   -4.7390   26.0492
   27.1558   22.8610
   -8.9155   26.1556
   -8.2764   28.4905
  -12.9245   11.5561
  -10.8342    8.9895
  -11.5153   10.8852
   -6.3255   12.8666
   -0.9025   15.2519
  -11.3784    9.8536
  -13.7433   10.3968
   -4.4625   13.8327
  -11.4238   12.7916
   -9.8206    9.7472
   -6.1059   11.6957
   -2.4089   14.4451
   -7.6063   20.0836
   -4.1748   11.9940
   -4.9520   12.7876
   -8.1374   11.1728
   -8.8948   12.2303
   -5.6629   14.3655
   -5.9634   16.8996
   -7.4471   13.1102
   -0.7156   16.9053
   -3.1886   17.3356
   34.8725   28.7703
   -5.8360   17.8471
   34.3450   30.8317
   -2.8718   19.8365
   -5.4433   18.9771
   23.7769   -8.2904
   -7.9739   26.7365
   27.7203   21.4496
   28.1559   20.9114
    9.4633   28.3779
   -8.7238    4.8984
   17.5020   24.8753
   44.4390   -2.3999
   15.8225   26.0410
   10.5756   22.9881
  -25.7597   28.3787
   16.0398   18.6234
   17.9219   29.4526
   13.3195   15.6686
   38.4870  -21.6231
   40.3368  -23.5953
    0.8486   29.9601
  -21.0222   29.6837
  -11.6545   35.4268
   -9.8820   32.1592
  -18.0246   33.5265
  -43.8451    8.7390
  -43.0282    4.8999
  -24.1990   15.8511
   10.9391   22.3493
  -24.9605   14.6007
    0.4267   13.8061
    6.7418    9.5011
    5.4188   11.0759
   12.8059   11.9035
    8.4816   12.2099
   13.2175   27.7575
  -24.2617   16.3645
    6.7975   10.0807
  -29.4190   19.8492
   11.5847   21.8745
    0.8739   25.7292
   11.2611   27.1323
  -25.2552   19.1758
    4.7665    9.3232
   10.5418   18.1203
   30.8184    0.2821
   31.6464   20.6089
   10.8997   15.7338
  -26.0981   21.4212
   24.6124   36.5335
    5.2966   13.6055
   16.5856   13.0949
   30.4143   -0.2489
   44.0367   26.3915
   34.6730    0.6630
   39.6693   -2.5135
   10.8245   13.3011
  -27.1991   17.9301
   34.0234    0.3381
   38.6525   -3.8092
    8.3708   11.0148
    3.2537    9.4634
   14.7870   13.5130
   43.7695   -1.0725
   29.7587   -2.4498
   10.7425    8.9948
   41.5827   -2.8168
   16.5465   15.4802
    5.4264   26.3388
    9.4648   17.1086
   10.2376    9.8691
   14.0501   14.4982
   40.9784   -2.3539
   15.6496   12.5454
   36.6516    0.2298
   39.1089   -0.9759
    5.2814   27.4760
   33.1542   -1.7171
    4.7909   15.0041
   28.6771   -8.7319
   45.4209   -0.0539
   12.6060   18.8658
   27.5426  -10.9473
   15.3698   26.9255
    6.5936   25.2333
   46.3557   21.1697
   33.1340   -1.3465
   -6.1466   29.2250
   54.8399    4.9337
  -17.8992   30.0263
   46.6091   16.6589
   24.6928   21.7479
   35.5764   -2.0361
    4.8711   28.4170
   45.3482   16.0375
   56.2340    5.2750
  -20.2774   31.2688
  -18.8470   32.8600
  -32.8831  -14.0709
  -30.0912  -10.1790
  -31.9160  -13.9215
  -43.7634    1.6055
  -27.0581  -23.4295
  -33.8929  -12.4058
  -31.9396  -18.5363
  -29.8042  -11.8553
  -31.8013   -9.7530
  -23.0118  -21.6612
  -20.2018  -21.9990
  -24.0037  -23.0830
  -30.0805  -18.1492
  -30.0760  -12.4908
  -20.0411  -23.3373
  -23.2109  -24.3605
  -32.7979   -6.6696
  -26.4607  -27.9362
  -32.8077   -9.8030
  -27.1728  -15.6103
  -31.2235  -16.0636
  -30.3699  -22.0676
  -32.5737  -26.8769
   -6.0375    2.5599
  -29.5416  -16.4487
  -24.8531  -27.8994
  -23.8687  -29.1643
  -26.6613  -19.3723
  -33.3527  -17.2005
  -33.8803  -20.5958
  -33.3861  -16.3976
  -22.8130  -25.6098
  -31.2330  -21.1825
  -29.0977   -6.7036
  -26.9147  -14.0909
  -23.3499  -30.1127
  -18.5342  -17.4445
  -28.3882  -17.5681
  -32.8710  -20.3301
  -34.8769  -16.2487
  -35.6487  -22.0161
   -5.2326   -4.1691
  -30.9538  -19.7868
  -24.6362  -19.8155
  -17.7486  -26.5119
  -27.9219  -18.1615
  -23.3795  -18.8857
  -21.4662  -21.1533
  -19.5618  -29.9140
  -26.9548  -21.8816
  -25.0601  -22.4935
  -24.0279  -16.2758
  -27.3834  -28.5524
  -19.9660  -26.6292
   -5.5025    3.1421
  -22.8807  -33.2175
  -18.1469  -20.5398
  -17.4760  -18.0218
  -24.0496  -13.4577
  -33.5305  -18.7800
  -31.8079   -5.6178
  -19.3475  -19.8615
  -36.3075  -11.4702
  -19.5668  -18.7037
  -28.9826  -15.5577
   49.2105   -6.1559
    5.3893   17.9894
  -22.1770  -24.2360
   58.8497   -8.8296
  -20.4582   25.6922
   60.6548   -6.1060
    5.3590    3.7209
   33.5085  -26.0273
   15.2599    5.8754
   14.8389  -18.2891
   43.4699   -0.0167
   31.1836  -23.2801
   32.8361  -24.0036
  -22.4245   18.3035
   18.2718    2.3324
  -29.9114   30.0784
   37.3879   21.0985
    6.7913   21.3401
   48.8006   -2.0741
   63.4241    7.4415
   -7.7655    6.0172
   15.4091    1.1827
   14.2454    2.0632
   12.7099    2.3191
  -16.9776   16.5270
   22.9307   28.8757
  -17.3856   18.1773
   21.1360   28.2710
   22.6366   11.7700
  -16.5363   16.0110
  -15.2014   14.5870
   22.0162    9.4659
   21.8795   10.1535
   20.4113    1.4768
    8.9336    1.2615
   23.6998    8.3015
   24.0119    0.5715
   14.5892    3.6200
   36.5436    2.7979
   14.7868    0.2842
  -13.7670   17.2095
   27.3154    1.0887
   21.9386    8.4040
   49.7735   23.7391
   23.4888    9.6285
   13.3733   32.0741
   19.1852    4.9963
   19.5377   -3.5492
   19.7155    8.8065
   19.7648    7.5458
   21.3091    3.4342
   16.7579   -1.6850
   20.5106    0.3111
   19.2914    3.9732
   14.4087   33.0367
   37.5692   19.7317
   49.0008   -1.3937
