	Dim1	Dim2
   -9.6784   28.4069
  -27.3203  -15.8343
  -16.8287   31.5363
    3.9989   36.8515
   -5.2885   30.9001
   -9.3126   45.4841
  -22.1847  -23.4488
    5.1919  -20.3008
   13.2066  -19.9206
    5.8969  -18.2196
    4.6074  -22.0153
    0.4715  -22.3522
   19.8311  -19.5614
   -0.5541  -18.0983
   14.3612  -17.1407
   26.0529  -29.9198
   29.1394  -11.9336
    7.2570   -9.7471
   22.4359  -16.8672
   23.9129  -26.3015
  -19.9520    8.6126
   24.9866  -27.0559
   30.4524  -26.9698
   29.6989  -19.4309
   13.6405    8.1706
   31.2356  -23.3685
   23.4625  -16.1300
    1.1399  -18.4541
   30.1898  -28.4966
   33.7653  -20.8680
   25.3260  -14.9288
   31.1387  -20.5724
   24.6055   21.6527
   16.4170   20.0472
   21.5586  -13.8726
    4.2015   26.8155
   34.8694  -24.3011
   29.2417    0.6756
    7.8015   27.8084
   26.1419   12.4009
   14.6084  -23.8162
   19.8635  -21.6679
   17.2880  -23.0022
   -4.0762  -29.9527
   21.4753  -28.7717
   16.6352  -25.0369
   23.7281  -22.0962
    8.6550  -18.8479
   17.8258  -30.5981
   19.4788  -28.4225
    8.0864   -5.4660
   22.2343  -20.4322
    6.6538   -8.4088
  -27.3277  -21.7205
   33.3154  -23.7043
   -5.4409  -24.2140
   32.1589  -21.2093
    7.4257   -4.6955
   -5.8689  -19.7089
   -7.8174  -17.0756
  -11.3815  -20.9233
   -7.3334  -18.3076
   -9.0800  -18.0884
   -8.3951  -22.3657
  -24.5860   -2.1418
   -9.4719  -22.8938
  -13.5759   11.9508
  -17.7932   19.1896
  -13.0265   21.9446
   -2.1154    5.5449
   -1.0821    6.6898
   -5.4651   16.7387
    6.5437    9.8458
    0.4208    7.3903
   -5.7021   13.9448
    1.7358   10.8699
    4.4842   12.2416
    0.2154   10.2491
   -1.5407    8.0032
    0.6029   12.3893
    5.8346   40.8624
   -1.7204   28.3800
   -6.4433   24.3014
   -7.9589   22.9771
   -7.0079   41.6784
  -17.2361    1.5387
   -9.6427  -19.3112
  -11.4056  -18.3276
  -14.0045  -19.8330
  -13.3027  -18.1437
  -12.3385  -19.3329
  -16.1839   22.7431
  -31.0932   -9.9347
  -34.2348   -0.8736
  -33.1458   -2.7353
  -34.2078    4.0206
  -35.9682    1.1657
  -35.0113   -4.2530
  -28.9927   -5.7620
  -36.7541   -4.7374
  -36.8032   -3.5102
  -35.7755   -0.8408
  -12.6454   14.9362
   -7.4648   29.0383
  -14.6359  -23.9643
  -24.3264   25.8948
  -22.6145   25.3050
  -25.6603   25.3705
  -21.2129   25.3239
  -25.5726   27.4173
  -21.1250   12.5489
  -17.0807   20.7118
  -27.6618   -7.0104
