gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
CD79B	1.11378094518565	4.47764800453779	3.36386705935213	477	155	83	108	0.174004192872117	0.696774193548387	2.67640116042362e-34	7.88013930381226e-33	6.25975511049154e-36	7.69413555655833e-66	4.71623978115106e-63
BEX2	3.13264629448363	0.0446330139882495	-3.08801328049539	477	155	272	6	0.570230607966457	0.0387096774193548	1.50233283405395e-30	5.67227208755174e-37	1.84719233209399e-29	1.57817709298076e-63	9.35122533494199e-61
P2RY14	0.70619621856142	3.32283624968082	2.6166400311194	477	155	75	103	0.157232704402516	0.664516129032258	1.11639470332547e-33	8.36591497845944e-32	4.92958211349792e-34	6.15518870962762e-63	3.52950433878518e-60
LAPTM4B	4.02960410557162	0.570450848162437	-3.45915325740918	477	155	310	14	0.649895178197065	0.0903225806451613	2.92575426287667e-33	3.64048081073985e-37	2.53113697897908e-28	1.36787540839892e-62	7.59854789365598e-60
LY86	0.0142369314166552	1.79467681052111	1.78043987910446	477	155	2	46	0.00419287211740042	0.296774193548387	5.50888963236069e-32	1.96922535207026e-28	7.26038770413277e-33	1.98443665944774e-58	1.04969935184692e-55
KIAA0125	3.92496892558671	1.11401274511691	-2.8109561804698	477	155	371	37	0.777777777777778	0.238709677419355	1.15712087535764e-33	2.95186843871428e-33	4.90080711193804e-28	2.00775078548577e-58	1.04969935184692e-55
GOLGA8B	3.90426752917661	0.711493782291975	-3.19277374688463	477	155	346	30	0.725366876310273	0.193548387096774	3.13846658847827e-31	6.63712912937978e-32	3.52262320235797e-29	3.23360425764788e-58	1.64230140811282e-55
ICAM3	3.86473564929335	0.539572879703301	-3.32516276959005	477	155	302	15	0.633123689727463	0.0967741935483871	1.17601763352355e-30	3.32265768068384e-34	7.53683126544546e-27	3.4617769497618e-58	1.70934852941572e-55
SOCS2	4.80367886069648	9.10236322931993	4.29868436862345	477	155	349	155	0.731656184486373	1	1.18652452859999e-12	2.99341662225657e-18	7.52617056097375e-41	3.01297225825609e-56	1.44752959088541e-53
SERINC5	0.461722289185869	3.4366349782559	2.97491268907003	477	155	70	91	0.146750524109015	0.587096774193548	2.62742599499546e-27	1.91434385661143e-25	1.56572822889345e-32	3.93100305638518e-55	1.83888185079745e-52
