gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust
CCDC27	3.9177803490468	5.44122044425351	1.52344009520671	477	155	390	152	0.817610062893082	0.980645161290323	8.93834312937705e-07	1.06041277663931e-08	1.37123342773498e-14	7.45685261084501e-21	4.23492051151377e-19
HLA-DPB2	1.2997201669152	2.58171268029936	1.28199251338416	477	155	277	125	0.580712788259958	0.806451612903226	6.40302744539232e-07	2.71447889919742e-07	5.71369603056752e-16	7.94376049997028e-21	4.49707919259464e-19
UQCRC2	3.95121576129679	1.67268446533738	-2.27853129595941	477	155	299	47	0.626834381551363	0.303225806451613	3.94370393423959e-12	2.84815642348043e-12	7.05483242469446e-11	1.02393421127988e-20	5.77823953641624e-19
CEP70	1.59777408636104	0.26392231822393	-1.33385176813711	477	155	138	6	0.289308176100629	0.0387096774193548	2.12745747875407e-10	7.20457384513989e-13	2.87297878962899e-10	1.05416648720705e-20	5.911313399556e-19
CCDC6	1.32949747063362	0.170324657775552	-1.15917281285807	477	155	126	4	0.264150943396226	0.0258064516129032	3.76794149456812e-10	4.82758292022661e-13	4.91343455628894e-10	1.20481388129891e-20	6.69274111061544e-19
FAM162A	2.84618462100003	0.952263197521716	-1.89392142347832	477	155	236	29	0.494758909853249	0.187096774193548	2.92955181593251e-11	3.95974221462101e-12	6.18049025965599e-11	1.2423030265952e-20	6.87949489120136e-19
TWISTNB	2.31480040298699	0.816372421233835	-1.49842798175316	477	155	210	21	0.440251572327044	0.135483870967742	1.48846688012074e-11	9.12662538411283e-13	2.80824825024745e-10	1.29983476360733e-20	7.15351788169781e-19
FAM127B	1.09057858595004	0.00554832745904014	-1.085030258491	477	155	104	1	0.218029350104822	0.00645161290322581	1.70074668978637e-09	3.25028341507897e-13	8.34022123168061e-10	1.37328531185011e-20	7.5344196615579e-19
DUSP23	2.34033345508864	0.606973299336852	-1.73336015575179	477	155	193	18	0.40461215932914	0.116129032258065	7.10735283558684e-11	2.83369916245115e-12	1.09097991419307e-10	1.5620841790892e-20	8.54387949768909e-19
WRNIP1	1.66690071067884	0.307668332690506	-1.35923237798833	477	155	153	9	0.320754716981132	0.0580645161290323	1.5363381601179e-10	1.46592053864071e-12	2.27606009393698e-10	1.68334079357031e-20	9.17885458481775e-19
RIF1	1.51615313081055	0.340601279528951	-1.1755518512816	477	155	170	13	0.356394129979036	0.0838709677419355	1.58507521710808e-10	3.06400515212661e-12	1.46309444537865e-10	2.24848452145525e-20	1.21486507153157e-18
MAB21L3	2.63003071327478	1.3256439768892	-1.30438673638558	477	155	355	71	0.744234800838574	0.458064516129032	7.7792672314207e-11	1.39483548062959e-10	3.37716054056719e-12	2.3603348372102e-20	1.27143369897723e-18
C4orf48	0.886941138231471	2.22062745885557	1.3336863206241	477	155	96	74	0.20125786163522	0.47741935483871	3.31758427453798e-11	8.91376829077535e-11	5.33493504938898e-12	2.38235925895564e-20	1.27498998173781e-18
ABHD14B	1.49114207037198	0.13728473915727	-1.35385733121471	477	155	139	7	0.291404612159329	0.0451612903225806	5.31890181453997e-10	2.74759301330323e-12	1.94374142146114e-10	2.66931887615541e-20	1.42065306414786e-18
MGST3	2.6852347984153	1.07942025909466	-1.60581453932064	477	155	282	43	0.591194968553459	0.27741935483871	2.11504279874663e-11	8.15060566941904e-12	7.0485668984394e-11	2.86725011432279e-20	1.52143994125976e-18
CTNNBL1	2.91042745973483	1.15837892595613	-1.7520485337787	477	155	241	30	0.505241090146751	0.193548387096774	1.8354119578751e-11	2.46721954213309e-12	2.34667227681804e-10	2.8891333673842e-20	1.52848912912564e-18
TSPO	3.48561041705266	1.32857187508429	-2.15703854196837	477	155	300	51	0.628930817610063	0.329032258064516	1.23849879740303e-10	8.11454206357172e-11	7.9412193791353e-12	3.20867619109006e-20	1.69250528109249e-18
MYADM	2.63940741167884	0.92234252732818	-1.71706488435066	477	155	269	41	0.563941299790356	0.264516129032258	1.70438905962814e-10	5.9584063998281e-11	1.10097762511131e-11	3.26533300349003e-20	1.71729465887689e-18
KDM1A	1.77150859774863	0.387301676371419	-1.38420692137721	477	155	173	14	0.362683438155136	0.0903225806451613	2.11569959724951e-10	4.79122434447939e-12	1.49216138022408e-10	3.55246721745998e-20	1.8627922494858e-18
TSPYL4	1.30266724454119	0.0865735003665745	-1.21609374417462	477	155	116	3	0.243186582809224	0.0193548387096774	1.2448753420742e-09	1.18758564814935e-12	6.94775677654328e-10	4.08811212071415e-20	2.13736120758279e-18
C6orf48	5.24248966162342	3.12010128338967	-2.12238837823375	477	155	423	95	0.886792452830189	0.612903225806452	3.34505498841905e-14	7.00361978218185e-13	1.35470805187726e-09	4.68765366227921e-20	2.43648337721272e-18
MAGED2	2.50309755703068	0.987192844868799	-1.51590471216189	477	155	249	33	0.522012578616352	0.212903225806452	3.29603183076912e-11	6.12427139982465e-12	1.5814485128047e-10	4.78316894970326e-20	2.47888079445846e-18
PNRC1	2.20842065776887	0.778605640178982	-1.42981501758989	477	155	202	20	0.423480083857442	0.129032258064516	4.8764157682794e-11	2.58578142296552e-12	4.91326645816603e-10	6.23986853295134e-20	3.21506965338386e-18
TMEM106C	2.21527703569257	0.495930708235373	-1.7193463274572	477	155	177	15	0.371069182389937	0.0967741935483871	2.1469397963058e-10	6.51543843164309e-12	2.74829194054717e-10	8.73322326333337e-20	4.47382641870357e-18
TMEM123	4.07527928872426	2.15258732667334	-1.92269196205092	477	155	350	66	0.733752620545073	0.425806451612903	4.36210536954988e-12	7.53973265412641e-12	2.48714888423809e-10	9.13722806733105e-20	4.64066760356791e-18
INSR	1.02711958954867	2.73104657976724	1.70392699021857	477	155	118	79	0.247379454926625	0.509677419354839	1.68982203373739e-09	2.52311353985369e-09	8.06596297014776e-13	9.89965010409471e-20	5.01356638889993e-18
ZNF711	1.07497473231506	0.0439165392002974	-1.03105819311476	477	155	101	1	0.211740041928721	0.00645161290322581	3.42524667527355e-09	1.02781850528086e-12	2.22141777577408e-09	1.10801427915565e-19	5.57962091395772e-18
IFITM3	7.85602655413429	9.75046037887393	1.89443382473963	477	155	469	155	0.983228511530398	1	0.226618052848703	0.20975483497453	1.21256876704009e-20	1.23154450097492e-19	6.18416244331361e-18
RPSAP58	6.61038694400704	4.7816129344601	-1.82877400954694	477	155	451	119	0.945492662473795	0.767741935483871	2.8267008015444e-10	2.4129083301564e-09	1.09269832308204e-12	1.27570449388896e-19	6.36180378496267e-18
NT5C3A	3.07297273949921	0.970502233794913	-2.1024705057043	477	155	255	37	0.534591194968553	0.238709677419355	2.51071727369575e-10	8.888292414733e-11	2.977479699649e-11	1.28039073057589e-19	6.36180378496267e-18
PTBP2	3.39934966267328	1.69896248252964	-1.70038718014364	477	155	288	43	0.60377358490566	0.27741935483871	3.05655788555025e-12	1.71083852335366e-12	1.57448961391288e-09	1.30276294041611e-19	6.45067243143085e-18
GSTM4	1.88128232388009	0.61933015531514	-1.26195216856495	477	155	210	23	0.440251572327044	0.148387096774194	1.13684781278479e-10	9.52728847298215e-12	2.93212613556225e-10	1.35002452330892e-19	6.66612109064984e-18
SNHG8	7.27752146202503	4.15246460616897	-3.12505685585606	477	155	452	121	0.947589098532495	0.780645161290323	1.46963069654415e-09	1.00002344798896e-08	2.86268324155476e-13	1.38278011345627e-19	6.80894717362845e-18
RPL15	9.63165980905329	8.20740653597586	-1.42425327307743	477	155	477	155	1	1	NA	1	3.00828646065772e-21	1.45158594847864e-19	7.12800879009841e-18
DHFR	1.69678864512826	0.552135678324573	-1.14465296680368	477	155	187	17	0.392033542976939	0.109677419354839	1.25035376373246e-10	6.80074813229629e-12	4.55004026957835e-10	1.49224968520233e-19	7.30750148874837e-18
TEX30	2.59972646170516	0.849842459182027	-1.74988400252314	477	155	205	21	0.429769392033543	0.135483870967742	5.96641734876714e-11	3.4327080743466e-12	9.08186528881329e-10	1.50319146556458e-19	7.34086029996593e-18
RPSA	8.2832687239647	6.16800954785068	-2.11525917611402	477	155	471	133	0.987421383647799	0.858064516129032	4.8712213669113e-11	1.04098568440574e-09	3.22899038340494e-12	1.61821111856233e-19	7.88090982015451e-18
VIM	7.2515027479021	4.53412930447479	-2.71737344342731	477	155	450	116	0.943396226415094	0.748387096774194	1.52176910092692e-11	1.97342932795126e-10	1.83630107255229e-11	1.74184827586566e-19	8.45986200868524e-18
OPA1	1.24010647102562	0.190250842755161	-1.04985562827046	477	155	132	6	0.276729559748428	0.0387096774193548	9.37985355990043e-10	4.40432524127074e-12	8.28512470158612e-10	1.75372139912285e-19	8.49431923455253e-18
HOXA3	1.03646694843639	0.000138699386011278	-1.03632824905038	477	155	100	1	0.209643605870021	0.00645161290322581	4.31849154317168e-09	1.91964193883734e-12	1.94801977257306e-09	1.79628156695368e-19	8.67682096037193e-18
ATP1A1	1.69796344685026	0.326677906679355	-1.3712855401709	477	155	152	10	0.318658280922432	0.0645161290322581	6.01786082350173e-10	8.32353522687964e-12	4.98126006550196e-10	1.98734613187023e-19	9.57373030897704e-18
NAP1L1	5.77584112323352	3.93659064105047	-1.83925048218305	477	155	432	101	0.905660377358491	0.651612903225806	1.06374898456904e-13	1.55554240000593e-12	2.82477795814212e-09	2.10361463201501e-19	1.01064469455943e-17
MEST	3.52034888938699	1.51370420343189	-2.0066446859551	477	155	290	46	0.607966457023061	0.296774193548387	2.87978930846403e-11	1.41048619555533e-11	3.3084937239447e-10	2.23127426283741e-19	1.06908709693255e-17
CMSS1	2.37103690796091	0.913243317926196	-1.45779359003471	477	155	229	28	0.480083857442348	0.180645161290323	8.07012335272035e-11	1.17435755809235e-11	4.73407814240617e-10	2.64847811462946e-19	1.25880606860036e-17
NRD1	3.10758343988261	1.43308536640471	-1.6744980734779	477	155	266	38	0.557651991614256	0.245161290322581	2.52077530825498e-11	7.50034899618731e-12	7.51346765626116e-10	2.68385431126638e-19	1.27221851298857e-17
LRRC75A-AS1	11.4827657015014	10.0643169837558	-1.41844871774565	477	155	477	155	1	1	NA	1	5.71649691583696e-21	2.72167738863357e-19	1.28671641649868e-17
IPO5	2.06152079302481	0.671509903879571	-1.39001088914523	477	155	193	19	0.40461215932914	0.12258064516129	1.97947809687544e-10	1.2053087172696e-11	5.74857931302097e-10	3.28554590065309e-19	1.54917410954932e-17
NME4	1.93421924761993	0.567984639030616	-1.36623460858932	477	155	180	16	0.377358490566038	0.103225806451613	2.78530403718688e-10	9.56127678520202e-12	7.28913174461845e-10	3.30435718020339e-19	1.55392204326179e-17
ANXA2P2	2.34303351637374	4.67308941523576	2.33005589886202	477	155	250	115	0.524109014675052	0.741935483870968	2.92347209433483e-06	1.55535095001013e-06	4.59607226040198e-15	3.3874896591884e-19	1.5856280374164e-17
UBASH3B	0.366168967329443	1.57261217622307	1.20644320889363	477	155	39	45	0.0817610062893082	0.290322580645161	7.57941012535977e-11	7.89068428475307e-10	9.06524103836689e-12	3.38961889186673e-19	1.5856280374164e-17
TPM1	1.24602145651595	0.00870354777999885	-1.23731790873595	477	155	118	4	0.247379454926625	0.0258064516129032	2.6019191619808e-09	9.88887658075767e-12	7.2568692049254e-10	3.40034911360864e-19	1.58647259431777e-17
BSG	3.25387757423991	1.52529354177155	-1.72858403246836	477	155	292	47	0.612159329140461	0.303225806451613	3.89762624959738e-11	2.44678414988649e-11	3.07531050275058e-10	3.56186260822594e-19	1.65747826502158e-17
LOC441454	0.905579583765047	1.9723523266424	1.06677274287735	477	155	281	128	0.589098532494759	0.825806451612903	1.43267900969473e-07	4.2784124995863e-08	1.81166701349197e-13	3.66675133495039e-19	1.70183216005426e-17
CNST	2.84950147388781	1.13391855493455	-1.71558291895325	477	155	249	34	0.522012578616352	0.219354838709677	8.57677164293967e-11	2.16297603190429e-11	3.60785695620914e-10	3.691129589201e-19	1.70868540566763e-17
TRA2B	3.84459464945262	1.93348192065753	-1.91111272879509	477	155	324	60	0.679245283018868	0.387096774193548	1.80956327488501e-10	2.31993513551202e-10	3.73365178989296e-11	4.08798191885049e-19	1.88514309811518e-17
IL18	2.15852121677214	0.69834823651122	-1.46017298026092	477	155	275	44	0.576519916142558	0.283870967741935	4.42055175477058e-10	2.02078095057059e-10	4.29231688289599e-11	4.09352630441303e-19	1.88514309811518e-17
HLA-DRB5	5.15253154602646	7.27581605592114	2.12328450989467	477	155	396	154	0.830188679245283	0.993548387096774	3.04459327723056e-07	6.48748351634531e-10	1.75544979303652e-11	5.34365362673628e-19	2.44816461002227e-17
GSE1	1.60672665806174	0.33317831969791	-1.27354833836383	477	155	155	11	0.324947589098532	0.0709677419354839	8.40262077943749e-10	1.41211099404835e-11	8.24036116801176e-10	5.45744513062254e-19	2.49387004220942e-17
SERPING1	1.88233846763835	0.267861412451361	-1.61447705518699	477	155	153	11	0.320754716981132	0.0709677419354839	1.3801732969666e-09	2.54810384051568e-11	4.76198806861234e-10	5.68580153480697e-19	2.59155918160843e-17
SERPINE2	1.05769167924552	0	-1.05769167924552	477	155	90	0	0.188679245283019	0	1.14736393780615e-08	2.03520885212281e-12	6.18220560392013e-09	5.89118298356424e-19	2.66467350421979e-17
CXCL2	1.01696341865732	0.0146529069679656	-1.00231051168935	477	155	98	1	0.205450733752621	0.00645161290322581	6.84796279240006e-09	3.43751026351806e-12	3.68308364378746e-09	5.92717751087289e-19	2.67414993485473e-17
RHOG	1.80639735480098	0.37656697499178	-1.4298303798092	477	155	137	7	0.287211740041929	0.0451612903225806	8.70969853717647e-10	5.03904327978186e-12	2.60124181201698e-09	6.13195663468808e-19	2.75953572501811e-17
SFPQ	2.8764125403632	1.20286799118014	-1.67354454918306	477	155	250	34	0.524109014675052	0.219354838709677	6.4219983679187e-11	1.29296362636646e-11	1.02686753444684e-09	6.20943190106599e-19	2.78734498670073e-17
SCARNA9	1.54828643731214	0.337891326518049	-1.21039511079409	477	155	159	12	0.333333333333333	0.0774193548387097	8.98155418035289e-10	2.11210026432841e-11	6.6758301984791e-10	6.58585420192407e-19	2.94887013333507e-17
DYNC2LI1	1.16626732138528	0.0514884979320563	-1.11477882345322	477	155	98	1	0.205450733752621	0.00645161290322581	6.84796279240006e-09	3.43751026351806e-12	4.49097390719005e-09	7.19669727289465e-19	3.21428368650692e-17
SMYD3	1.8041778975202	0.287103971280902	-1.5170739262393	477	155	140	8	0.293501048218029	0.0516129032258065	1.28875568762223e-09	1.62234093768133e-11	1.24436496059543e-09	9.35690463552731e-19	4.14783882297091e-17
BAALC	0.952442935314966	2.65924514425377	1.7068022089388	477	155	89	68	0.186582809224319	0.438709677419355	5.50004906674577e-10	1.8938270347423e-09	1.07599202719703e-11	9.44287138647494e-19	4.17553437228802e-17
STAT4	1.24267944957068	0.155311219634783	-1.0873682299359	477	155	123	5	0.257861635220126	0.032258064516129	2.574470766011e-09	1.21247032959775e-11	1.8497034797832e-09	1.03711945744406e-18	4.56332561275388e-17
RPS4X	10.6966397270858	8.87503216567404	-1.82160756141178	477	155	477	153	1	0.987096774193548	0.0965604404685697	0.0598557644085137	4.98803822462036e-19	1.37213186787382e-18	6.02247310699385e-17
SMIM1	4.45142690506872	5.98898324572852	1.53755634065979	477	155	398	152	0.834381551362683	0.980645161290323	4.86853161443713e-06	1.45525449080071e-07	2.29637220438099e-13	1.53205730958384e-18	6.69136381699321e-17
SELPLG	1.55902251965285	0.243598682795263	-1.31542383685759	477	155	123	5	0.257861635220126	0.032258064516129	2.574470766011e-09	1.21247032959775e-11	2.9951530981408e-09	1.66186440363403e-18	7.24051510759768e-17
GTF2I	2.74557860930936	1.375911746815	-1.36966686249436	477	155	296	48	0.620545073375262	0.309677419354839	2.76785340737003e-11	1.39710667292296e-11	3.11450889333846e-09	1.98337645568288e-18	8.62017111887994e-17
COPS3	2.55513830804558	0.779623199931416	-1.77551510811417	477	155	206	24	0.431865828092243	0.154838709677419	8.69802926674644e-10	1.19733338029518e-10	4.88250113293827e-10	2.64740814262962e-18	1.14502012514317e-16
SEPW1	2.60214956216814	1.1478440773486	-1.45430548481953	477	155	213	23	0.446540880503145	0.148387096774194	4.98861430223449e-11	4.93973124741193e-12	1.2252528810481e-08	2.73879529655291e-18	1.17596196114794e-16
CD200	1.1722638820131	2.61562486272185	1.44336098070875	477	155	104	75	0.218029350104822	0.483870967741935	3.40712782754972e-10	7.39910070857573e-10	8.23412671725001e-11	2.75653577323577e-18	1.18072722662745e-16
HLTF	1.47144541879391	0.325321861369508	-1.14612355742441	477	155	148	10	0.310272536687631	0.0645161290322581	1.62082283559859e-09	2.70541561721865e-11	2.25823706349799e-09	2.76403789606812e-18	1.18109465481988e-16
NBPF15	2.62156451495882	1.43915393955222	-1.1824105754066	477	155	307	50	0.643605870020964	0.32258064516129	4.83386315147978e-12	2.82351817101243e-12	2.35482357240664e-08	3.00245474812522e-18	1.27989533819362e-16
CD44	3.16270621037892	1.48993863085487	-1.67276757952405	477	155	280	45	0.587002096436059	0.290322580645161	2.48552329678186e-10	1.11035476337029e-10	6.97751240642955e-10	3.48671681539401e-18	1.48277220359914e-16
HLA-DPA1	5.2450744378538	7.17260649775517	1.92753205990137	477	155	375	142	0.786163522012579	0.916129032258065	0.00042561374815849	0.000175736309437094	4.67132376659635e-16	3.68974894535844e-18	1.56164231554028e-16
TSPAN2	1.2414812676627	0.0447221612609191	-1.19675910640178	477	155	101	2	0.211740041928721	0.0129032258064516	1.2145934241909e-08	1.37903215214254e-11	6.09717247995149e-09	3.77717181017841e-18	1.59484575053994e-16
C1orf228	2.49324736638043	0.969075399101053	-1.52417196727938	477	155	215	25	0.450733752620545	0.161290322580645	2.07984643582596e-10	2.48361602418223e-11	3.42287127050825e-09	3.81797115520481e-18	1.60825249419243e-16
HADHA	3.10111636850367	1.35352725150864	-1.74758911699503	477	155	264	39	0.553459119496855	0.251612903225806	1.17495730476825e-10	5.08441497583568e-11	1.78723224653374e-09	4.0750654877978e-18	1.70845198375221e-16
CDK4	3.32667081456871	1.33429788788421	-1.99237292668451	477	155	234	31	0.490566037735849	0.2	3.48884678457717e-10	6.22912821255305e-11	1.68621810326398e-09	4.69513754678637e-18	1.95458466116334e-16
HAUS4	1.57067423482903	0.341413973675056	-1.22926026115397	477	155	137	8	0.287211740041929	0.0516129032258065	2.67238310057768e-09	2.95604207153804e-11	3.96090018305816e-09	5.22102070018131e-18	2.16843140108465e-16
APLP2	2.54813406655666	0.93568411976481	-1.61244994679185	477	155	220	27	0.461215932914046	0.174193548387097	3.66534273201302e-10	6.15538196359091e-11	2.0967023032808e-09	5.7423984112436e-18	2.3794143160435e-16
PSME2	7.54384865705203	9.54210618761769	1.99825753056566	477	155	467	155	0.979035639412998	1	0.148004312349128	0.129704782807355	1.19336684224737e-18	6.85888836554011e-18	2.83543254850793e-16
PCBP1	3.55142352774917	1.51444602825675	-2.03697749949242	477	155	278	45	0.582809224318658	0.290322580645161	4.4849100066165e-10	2.06218612393088e-10	7.63323469721226e-10	6.97260935679734e-18	2.87575647161089e-16
HEXA	2.38294703492626	0.761287339366418	-1.62165969555984	477	155	190	20	0.39832285115304	0.129032258064516	1.1618456079288e-09	9.24328675543738e-11	1.74132207736909e-09	7.12600381470169e-18	2.93221860671614e-16
SMA4	2.20621556347389	0.884608014309025	-1.32160754916487	477	155	262	41	0.549266247379455	0.264516129032258	1.26014837846752e-09	6.31374638513346e-10	2.82012038747172e-10	7.8650908356079e-18	3.22886500447497e-16
GMFG	9.00989038342203	10.2721473455356	1.26225696211357	477	155	475	155	0.9958071278826	1	0.999999999999985	1	1.87425574377319e-19	8.26938598471032e-18	3.3870185544749e-16
TPSAB1	1.11736786583262	1.93001374530496e-05	-1.11734856569517	477	155	93	1	0.19496855345912	0.00645161290322581	2.1385353435768e-08	2.12297535420719e-11	9.53611493696206e-09	8.91663897381233e-18	3.64372814709168e-16
MYCN	1.05270762774024	0	-1.05270762774024	477	155	84	0	0.176100628930818	0	4.3876103216258e-08	1.15058784187417e-11	2.31210557884193e-08	1.16442303219882e-17	4.72574973067722e-16
RNF130	2.7639425339266	1.08605343676807	-1.67788909715853	477	155	225	29	0.471698113207547	0.187096774193548	6.24029286908576e-10	1.46494603971034e-10	1.82204055246438e-09	1.16823397503946e-17	4.73041620508004e-16
WDR54	2.35049993258237	0.774256828609074	-1.5762431039733	477	155	194	21	0.406708595387841	0.135483870967742	1.09883088328756e-09	1.14038447294446e-10	2.50324883981338e-09	1.24749371070307e-17	5.03987459124039e-16
CACNB2	1.74622224554115	0.471909201134902	-1.27431304440625	477	155	230	33	0.482180293501048	0.212903225806452	6.06646508025637e-09	1.43432294305082e-09	2.12336648481665e-10	1.32895744500883e-17	5.34469401413504e-16
CPVL	2.21313773915507	0.462607621641407	-1.75053011751367	477	155	178	18	0.373165618448637	0.116129032258065	3.41047632325511e-09	2.916040720934e-10	1.08307063816824e-09	1.3769804981444e-17	5.52532851806205e-16
SULT1A1	1.85271743191414	0.592303416825628	-1.26041401508851	477	155	188	20	0.394129979035639	0.129032258064516	1.92919484710921e-09	1.63652760868402e-10	2.14465038400211e-09	1.52652820472731e-17	6.08420748144228e-16
LYN	1.93206156816924	0.594512971648399	-1.33754859652084	477	155	170	15	0.356394129979036	0.0967741935483871	1.28086584123972e-09	6.58662494836307e-11	5.7381007668616e-09	1.64102897250678e-17	6.51136853019655e-16
DUSP6	1.60041745846416	3.2054171425437	1.60499968407954	477	155	134	86	0.280922431865828	0.554838709677419	9.22588866129685e-10	1.14605240781131e-09	3.46009493158558e-10	1.71987509871239e-17	6.80901998991348e-16
AMICA1	1.51653910080712	0.17000645002987	-1.34653265077725	477	155	122	6	0.255765199161426	0.0387096774193548	1.02460697411471e-08	8.45681362065617e-11	4.98015986464941e-09	1.82410962878456e-17	7.20563839139429e-16
RASSF3	1.77677220588486	3.80907112185764	2.03229891597278	477	155	182	95	0.381551362683438	0.612903225806452	7.42175251829256e-07	6.5296975668379e-07	6.55045862746221e-13	1.85187046502225e-17	7.29907968652674e-16
BCLAF1	4.02837704204134	1.99730031077973	-2.03107673126161	477	155	312	58	0.654088050314465	0.374193548387097	1.43745407245762e-09	1.25323327141236e-09	3.43958063072679e-10	1.8659729208474e-17	7.33839261968659e-16
TES	2.38576056990822	0.518370244886384	-1.86739032502184	477	155	285	54	0.59748427672956	0.348387096774194	1.09567234024922e-07	9.71768519884076e-08	4.6423935671082e-12	1.9508138054525e-17	7.65511395269839e-16
RPS12	9.97147321378513	7.87837569169846	-2.09309752208667	477	155	476	147	0.9979035639413	0.948387096774194	3.62548820098528e-05	8.10369040524673e-05	6.04062392374276e-15	2.11278293107394e-17	8.27242937946485e-16
DUSP10	2.27719952689833	0.803371167217699	-1.47382835968064	477	155	203	24	0.425576519916143	0.154838709677419	1.88605938590085e-09	2.25057975922384e-10	2.43702845285846e-09	2.36101859001516e-17	9.22405856178229e-16
TPSB2	1.10481986893651	0.00170041263041415	-1.10311945630609	477	155	91	1	0.190775681341719	0.00645161290322581	3.35414554315303e-08	3.71385054100258e-11	1.50696035621943e-08	2.40805743449599e-17	9.38719933236858e-16
CCNG1	3.56176307208874	1.46626045860371	-2.09550261348503	477	155	270	44	0.566037735849057	0.283870967741935	1.83821594541231e-09	7.58966693553551e-10	7.90769144007642e-10	2.57814398038782e-17	1.00282466948302e-15
TEC	1.48398114301774	0.324704754241666	-1.15927638877608	477	155	164	15	0.343815513626834	0.0967741935483871	5.61921703083303e-09	3.56053454430592e-10	1.76091438688514e-09	2.69058115187262e-17	1.04427446628139e-15
SDPR	1.25576862789805	0.172864691022622	-1.08290393687542	477	155	111	4	0.232704402515723	0.0258064516129032	1.34367830077671e-08	5.60700710452008e-11	1.15060481437396e-08	2.76669193000552e-17	1.06682680580864e-15
DNTTIP2	3.38253875717739	1.4574269630624	-1.925111794115	477	155	270	44	0.566037735849057	0.283870967741935	1.83821594541231e-09	7.58966693553551e-10	8.67081919224794e-10	2.82088368069798e-17	1.08536857809713e-15
PGM5P2	2.38843981103523	1.18693461535408	-1.20150519568115	477	155	296	52	0.620545073375262	0.335483870967742	1.02562179357159e-09	6.12489650151629e-10	1.11333932479927e-09	2.92057392074838e-17	1.11976471399335e-15
TNRC6B	2.72731409352103	4.21706658740372	1.4897524938827	477	155	360	141	0.754716981132076	0.909677419354839	5.80220545607766e-05	1.94701657495889e-05	3.50515604854754e-14	2.92287819134178e-17	1.11976471399335e-15
SEPT6	3.81034931976415	2.03801019895022	-1.77233912081392	477	155	333	64	0.69811320754717	0.412903225806452	3.23108899166294e-10	3.31932333338182e-10	2.20370195071047e-09	3.12775092021441e-17	1.19567527651035e-15
XBP1	4.46681297002235	6.36583336044253	1.89902039042017	477	155	336	143	0.70440251572327	0.92258064516129	6.62013191244524e-08	3.30331478930948e-09	2.45865419579469e-10	3.46428045430475e-17	1.32148174583093e-15
TUBA1C	6.30161077443619	4.16331386800592	-2.13829690643027	477	155	415	104	0.870020964360587	0.670967741935484	3.84163881051114e-08	1.11886961346229e-07	7.36080161925338e-12	3.51178722962194e-17	1.33673511335674e-15
PARP1	3.3625883241938	1.58498938021709	-1.77759894397671	477	155	268	42	0.561844863731656	0.270967741935484	5.61363561184237e-10	2.12566596437736e-10	4.0968507171447e-09	3.7085138312757e-17	1.40860132189652e-15
RAPGEF2	1.20892266120068	0.179872192983659	-1.02905046821702	477	155	127	7	0.266247379454927	0.0451612903225806	9.62548491525519e-09	1.56194747129739e-10	5.61928795756022e-09	3.73699527987064e-17	1.41597097728157e-15
ZFAND1	1.96156831107757	0.555550716266013	-1.40601759481155	477	155	175	17	0.366876310272537	0.109677419354839	2.70821780569936e-09	2.20049079924874e-10	3.99616038813158e-09	3.74384765595375e-17	1.41597097728157e-15
ILF3	2.94079388735805	1.30091225737522	-1.63988162998283	477	155	272	44	0.570230607966457	0.283870967741935	1.0470118970332e-09	6.52840324594915e-10	1.35307531988155e-09	3.76043818770628e-17	1.41922609818825e-15
TMEM14C	4.04311075601082	2.02112069516446	-2.02199006084635	477	155	345	69	0.723270440251572	0.445161290322581	4.64037802141566e-10	5.76733928138728e-10	1.54520570256576e-09	3.79298624787559e-17	1.42847719369145e-15
TUBA1B	7.62407467987005	5.2936343468266	-2.33044033304345	477	155	452	123	0.947589098532495	0.793548387096774	1.55907237003656e-08	1.18227386287361e-07	9.18802186206525e-12	4.60187456454966e-17	1.72944867356099e-15
GCHFR	1.82092053534027	0.11311534843045	-1.70780518690982	477	155	143	11	0.29979035639413	0.0709677419354839	1.53651646944316e-08	7.0637542450521e-10	1.57121643048744e-09	4.69943811929705e-17	1.76238843900052e-15
TMEM159	3.0417237669306	1.75312839837341	-1.28859536855719	477	155	411	99	0.861635220125786	0.638709677419355	2.07288821265166e-09	8.09616282390965e-09	1.42277680607514e-10	4.87314014869541e-17	1.8236829322781e-15
SRRM1	3.57949518252661	1.60707319863112	-1.9724219838955	477	155	301	57	0.631027253668763	0.367741935483871	1.57593697855004e-08	1.54817726205605e-08	8.3032327361596e-11	5.42416557237814e-17	2.0256295633318e-15
CTSC	3.66619992706418	1.62518523452124	-2.04101469254294	477	155	355	79	0.744234800838574	0.509677419354839	7.87669657991156e-08	9.84009286199687e-08	1.31390201288106e-11	5.45466521163274e-17	2.03274903148812e-15
CPA3	1.3155877560168	0.0238396793515015	-1.2917480766653	477	155	114	5	0.238993710691824	0.032258064516129	2.12666392069319e-08	2.16377797966495e-10	6.15845035311407e-09	5.61796374247114e-17	2.08922434071479e-15
PPIH	1.95071247819392	0.408360727708984	-1.54235175048493	477	155	159	14	0.333333333333333	0.0903225806451613	6.98583464957828e-09	4.40940188455635e-10	3.39778871895666e-09	6.29886112819988e-17	2.32299907499753e-15
